duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
217415957,977556107,82491,15221621,4,
214467607,975288319,83888,15209975,4,
216413190,975250526,75785,15213441,3,
215725712,973446058,82631,15212170,3,
215187978,971110227,71133,15203911,3,
214177406,974615012,80146,15222773,4,
214697473,975381838,114593,15216585,5,
216249486,974969360,84379,15238014,4,
215761016,973859297,85925,15215778,3,
214905013,977214279,79595,15226949,4,
213679679,971760420,84852,15253977,4,
214088980,972906857,77974,15228938,5,
215835888,973190710,80771,15234031,4,
213654757,972996966,83737,15229055,3,
214199258,974662333,79926,15228824,3,
213631461,971570032,78323,15217474,4,
214351619,975288056,79037,15240597,4,
216027268,974197545,78142,15269317,3,
214038685,974190579,73059,15219352,3,
214294874,975250971,78043,15231598,4,
216270133,978517902,85541,15311958,3,
215417458,979321728,94202,15222261,4,
216085971,975086142,80840,15222952,3,
215282346,971544224,71593,15210945,3,
213424096,971822221,78042,15206029,5,
213774398,973146335,76408,15230774,3,
214111003,974780997,75860,15207257,4,
214741236,976319471,82446,15221765,3,
214098814,973594922,76156,15219760,4,
219150643,986656747,81762,15167203,4,
213304882,970524206,80982,15239210,4,
213678745,972383839,71503,15217020,3,
213429041,971639005,80549,15220623,4,
215921386,973560767,77031,15218969,4,
214531710,975912756,70117,15217332,3,
213611180,972449949,78380,15246976,4,
213611653,972702087,78286,15220972,3,
213961439,974196077,70183,15209072,4,
215859068,973257159,79029,15210916,5,
214109458,974955487,79334,15254401,3,
213295356,970808053,69284,15234647,3,
213951404,973318120,78800,15201264,4,
213601222,972419447,75436,15231604,4,
215577165,971321675,78014,15228501,5,
215126132,969508357,76849,15217004,3,
215638625,972900336,79669,15346183,4,
213776999,973584736,82270,15222048,4,
214176798,971430716,69447,15245748,5,
213889619,973517768,78177,15233328,5,
216257568,974241521,78348,15238529,3,
214283029,975225553,78612,15211657,4,
213752134,973276715,84277,15218203,3,
214379774,972523942,114058,15238014,3,
215723359,971505098,88079,15228160,3,
215543767,972085044,81987,15230335,4,
214160339,975230448,84779,15221758,3,
213235432,971574722,69934,15215494,6,
214090233,974285686,77751,15231764,4,
215907545,973514660,76122,15210757,3,
216419956,975806771,81847,15213454,3,
213887716,973717902,83986,15242124,3,
222737569,1014384973,70928,15220551,4,
213289674,971384888,70791,15214696,3,
216212384,974026287,82502,15202320,3,
214144077,975544928,83135,15236687,3,
213221991,970835306,73545,15230308,4,
214578323,976808203,78765,15224622,5,
214218394,974124056,77000,15218469,3,
215781627,972265711,78478,15231224,4,
213765977,972748312,83641,15234164,4,
214473266,976528599,75795,15215378,5,
213352501,972025577,77735,15227882,3,
213645561,972799481,77971,15203956,4,
214384550,976492038,78429,15217172,3,
213727165,973489772,78661,15224757,5,
216552450,976098765,117933,15208322,3,
215132720,977178650,89383,15227551,3,
213382280,970133787,84813,15232903,3,
215713578,972366323,76214,15203320,3,
216463663,975215601,86031,15201791,4,
214483130,975243295,82585,15231339,3,
217636316,989140255,75636,15182087,3,
217465552,989193422,80026,15170328,3,
219623196,988647167,74956,15153737,4,
216767526,983702967,80464,15182285,4,
217186518,988583943,77316,15169371,3,
217163494,988210832,76811,15157961,3,
219366643,988694347,76886,15185917,3,
217590390,979968539,81517,15221162,4,
214413055,976748549,80102,15222239,3,
213991564,973357547,79310,15210198,3,
219491861,995603136,83855,15295804,3,
215943244,972096941,92121,15216804,4,
214567912,975165217,83726,15219492,3,
218736964,986124690,79911,15173837,3,
214067521,972740940,82333,15214495,3,
217911386,990478368,78372,15166723,3,
216485728,975726969,84919,15231682,5,
216594278,974592038,118700,15211793,3,
218336388,990679075,84061,15164572,3,
