duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
635750042,2906205757,87958,52926016,5,
637838542,2912618257,88077,52950335,6,
639119522,2913002075,89527,52956627,4,
634209978,2900821383,89135,52965135,5,
639575871,2914625245,84974,52860890,5,
647318150,2953896681,90456,52697859,3,
637850276,2905929541,105361,52930844,6,
635299798,2905344292,90307,52943629,4,
636239604,2910241668,92081,52975012,4,
635460652,2904730748,88171,52939979,5,
636821540,2907600784,123582,52939910,5,
637142974,2904855471,90098,52981116,3,
635951619,2908074806,85891,52954374,5,
637282815,2904576824,88544,52936376,3,
636319439,2907466533,90397,52941132,5,
650569531,2974340438,85756,52957868,5,
635736642,2904050542,86830,52991059,4,
636602759,2910125794,91751,52936942,4,
641599650,2904681397,123433,52947632,6,
635591458,2906054010,94528,52948929,5,
637268862,2904934204,79744,52944428,7,
635401846,2904501870,87976,52941801,4,
636029416,2898637586,87042,52980409,3,
634897365,2903209570,85182,52932343,4,
635216510,2903519843,83681,52985627,5,
635493707,2906830925,84857,52950613,3,
637446147,2908085466,122405,52923332,5,
634441081,2901317980,90829,52952626,4,
635227197,2904419327,87477,52953211,4,
636986131,2903564555,89238,52968467,5,
645514624,2952849033,88963,52703268,3,
637271150,2904939901,87106,52959253,5,
635103609,2904512144,85203,52965293,5,
635021871,2904310763,84031,52949025,4,
638407363,2907138113,119894,52957174,4,
635324828,2904022519,94904,52949279,4,
636646663,2902424490,87775,52992128,4,
644932875,2948341937,88869,52719822,4,
637236276,2902375406,86514,52954527,4,
635111290,2904339812,90220,52956000,4,
637117501,2913747385,87593,52954615,4,
634643440,2901125901,86986,52971734,9,
635858624,2904105223,123265,52953485,3,
636020631,2907123873,94543,52945314,4,
640747316,2929712700,85153,52809258,3,
640558354,2919194048,76900,52888879,6,
645809066,2952126162,82313,52747020,7,
637082742,2902845642,82596,52972402,3,
635804412,2907628851,86606,52943884,5,
646134773,2955236915,83794,52709663,6,
637997420,2905487013,121152,52954335,4,
639470286,2906620070,99973,52969243,5,
636536159,2909383213,101460,53030148,6,
638148357,2911313197,93619,52974856,4,
637635660,2903552830,98358,52968345,5,
643328630,2931350871,95493,52852289,4,
647193007,2948595097,96643,52721664,4,
640144672,2917947376,94802,52898164,6,
639579647,2911755727,124411,53020414,3,
639697211,2925719316,93785,52886401,4,
639078239,2907419619,87692,52917493,5,
646935830,2955560024,90529,52736111,3,
638867969,2910678880,85763,52905251,5,
636999273,2909489393,89987,52957780,6,
637874750,2908269874,89374,52948841,3,
636312424,2908551370,86788,52960387,5,
637763966,2904261567,121914,52992474,4,
635053189,2905844300,81823,52946499,2,
634980049,2904562310,83112,52946859,4,
638573969,2906483215,87457,52966036,5,
636994470,2912458568,95254,52993597,4,
634544553,2902733148,85432,52952182,4,
636844628,2909833217,86288,52926505,4,
635663091,2907672106,82047,52963816,2,
637563822,2904160049,124232,52963027,6,
635089365,2905182644,91753,52957492,3,
638237686,2907305894,86125,53003477,5,
636121741,2905272419,93074,53032150,5,
637250048,2904268576,93818,52959716,3,
635850698,2906026341,92329,52967743,4,
635905357,2906393283,86523,52941348,5,
637400860,2905104021,86747,52947524,4,
637046835,2907061198,125320,52949428,6,
638354751,2908981102,95152,52961939,6,
634838111,2903196654,86212,52946736,2,
637753775,2901667487,88435,52967875,4,
636767547,2909507915,92755,52958183,5,
636492251,2901118250,93397,52942235,4,
637733502,2907206749,92091,52959535,6,
635373052,2906695154,88000,52959448,4,
638732257,2907771656,123937,53000305,5,
635905762,2908284868,93825,52999203,4,
637578490,2905069296,86789,52945717,3,
635296164,2906880242,82489,52927791,4,
637660044,2905580563,84124,52975785,4,
635607295,2905154935,89853,52966986,4,
634847909,2905331765,87412,52995246,5,
636466785,2898535497,84886,52948029,4,
633536945,2895941926,87619,52966034,4,
637301978,2902714405,86311,52956876,5,
