duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
41036823,175165357,71140,3326469,3,
41087850,175468842,77015,3331301,3,
41095005,177832444,72466,3293097,3,
40895238,176548520,77278,3309236,3,
41094387,177733885,78348,3305533,3,
41275693,178416037,76382,3283988,3,
40836889,176740418,80595,3316795,3,
41152416,177975881,79347,3298933,4,
41232153,178086783,78565,3287581,3,
40950504,177186073,77139,3299518,3,
40974057,178103014,72273,3297160,4,
39797863,175120639,72863,3336461,3,
40077072,176597576,75225,3320511,3,
40890931,176588668,77646,3307137,4,
40907829,176632844,80719,3309182,3,
40871940,176659370,77650,3304953,3,
41195792,178285418,77115,3296363,3,
40281414,176420861,68883,3311232,3,
40126501,176799987,79624,3312588,3,
40551755,178441982,79088,3295763,3,
40056841,176754234,77811,3305239,3,
39950723,176138793,73320,3324846,3,
40220175,177040254,76788,3301158,4,
40043057,176198551,68516,3312392,3,
40955363,177367288,77531,3298841,3,
40555092,175550588,76160,3335906,4,
40646280,175570251,76609,3325049,3,
41096553,177569155,79844,3303423,3,
41076231,177721619,74959,3299088,3,
41019307,177228400,75170,3293544,3,
40965945,177789664,77345,3291680,3,
39799813,175430828,76562,3335976,3,
40239767,177047151,76775,3297199,3,
41107922,177642227,64649,3288839,3,
40752824,176249944,77955,3317589,4,
41053219,177736376,77686,3304830,4,
41276160,178204506,78939,3294263,3,
40851927,176434751,78136,3334359,3,
40459023,175007862,73494,3328703,3,
40672177,176662699,77151,3303859,4,
39983886,175842630,77001,3324811,3,
40108902,176696979,66527,3302919,3,
40980178,177151806,76137,3305803,3,
40832511,176598089,70720,3305154,3,
40726281,176158307,74649,3312935,3,
40533131,175304187,74944,3330235,3,
40778447,176063686,78042,3319094,3,
41007994,177167614,81222,3302789,3,
40787077,177611809,74782,3301012,3,
40055955,176174112,75675,3320630,3,
40565952,178270298,79190,3284667,3,
41175429,177969177,74570,3290236,3,
41200023,178250870,73524,3292824,3,
41148652,177895826,72514,3294027,3,
40900049,176928494,75433,3302704,3,
41024618,177191172,80476,3308970,3,
40935316,176972524,81505,3321768,3,
40696954,175629828,76382,3321376,4,
41059913,177551706,74341,3293127,3,
40798600,177391718,81482,3305336,3,
40169906,176658214,79211,3320139,3,
40116175,176615655,74729,3316024,3,
40166623,176883368,77863,3323463,3,
40296881,177805203,76523,3301621,3,
40538932,175192222,72510,3330009,3,
41028456,177364451,69787,3305595,3,
40606371,177586092,79718,3300253,3,
39998295,176130569,73431,3319048,3,
40270264,177232714,73956,3304288,3,
39929946,176023668,80828,3320970,3,
39743463,174905488,72447,3332848,3,
40879520,176632135,76897,3314935,3,
41222128,178145125,74309,3295310,3,
41163973,177906897,75222,3286724,3,
40662418,175634705,73971,3330966,3,
41219324,178012755,78038,3288617,3,
41011499,177484234,81150,3302747,3,
40648948,177103564,75257,3309104,3,
40373900,178121661,75860,3305862,3,
39934835,175811578,81419,3312287,4,
39766747,175342351,74045,3328620,3,
40228458,176932398,78508,3305463,3,
40711272,176020488,81473,3329211,3,
41079384,177538090,74514,3298567,3,
41269883,178255719,78145,3298539,3,
41204056,178290418,108785,3304952,2,
40916191,176859383,80755,3310873,3,
40975010,176982709,74485,3296944,3,
40091505,175411397,71637,3333271,3,
40080616,176630196,82565,3309859,3,
40375288,177785356,79871,3297517,3,
39967469,175723507,81336,3328370,3,
40286164,176983972,74226,3306092,3,
41117424,177571746,80495,3304177,3,
41232891,178178404,72416,3302217,3,
41144303,177826058,69201,3286764,3,
41042560,177226282,78484,3297263,3,
41092029,177662040,83611,3292223,3,
40734010,176056616,75075,3317864,3,
40797649,176250544,76217,3313754,3,
