duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
17698078,64492404,80368,640384,3,
16901194,64531494,77607,641066,3,
15263912,64696910,69106,642033,3,
15201063,64692014,77724,640906,3,
15181463,64747454,67405,643210,3,
15102258,64677691,68779,641066,3,
15149618,64727296,74245,640893,3,
15208593,64875072,77448,640325,3,
15146168,64745102,76817,640651,3,
15226550,64898937,79711,643650,3,
15243689,64764574,76490,639659,3,
15288660,64802571,69204,641725,3,
15322546,64838173,66727,644101,3,
15301406,64757613,64189,643177,3,
21167463,65949773,150872,644858,3,
20698906,64090476,74400,641254,3,
18074527,64461055,80653,641811,3,
15250420,64898862,81163,642394,3,
15136453,64914796,70892,641656,3,
15253311,65045706,76557,641774,3,
15219962,65055580,72773,640672,4,
15128311,64633959,70687,639612,3,
15239161,65362772,79395,640344,3,
15305897,64873435,81116,641267,3,
15352568,65126518,70726,640917,3,
15257782,64683987,73391,642286,3,
15299546,64759770,73450,642403,3,
15281635,64788339,71981,641021,3,
15328341,64822238,80914,640320,3,
15865391,67193536,69580,779718,3,
15307055,64756204,81758,641015,3,
15452135,65432785,76183,645396,3,
15358613,64977947,75550,641331,4,
15179941,65105386,75294,640162,3,
15173199,65133848,77638,644753,3,
15214038,64922091,77900,643613,3,
15224076,64927670,79101,643494,3,
15173706,64856046,78292,643310,3,
15180529,65067255,75625,641234,3,
15089572,64927768,76329,641424,3,
15222041,65170714,70908,641675,3,
15201618,65197995,69407,642152,4,
15142732,64854750,69960,642150,3,
15186260,64846392,75902,638696,3,
15161022,64824668,79214,640556,3,
15140682,65050315,75245,639586,3,
15192125,64913880,73459,641410,3,
15140252,64697365,68400,639089,4,
15685176,66584375,75201,638652,3,
15335541,64865613,78875,641688,4,
15287361,64713363,76163,639621,3,
15397682,65159434,80046,652006,3,
15273561,64656994,75134,645180,3,
15216147,64871045,78836,642042,3,
15125033,64772870,67720,639881,3,
15165595,64942712,66860,647493,3,
15155642,64777395,77259,640535,3,
15190374,64782882,76711,640719,3,
15150662,64782928,77744,642274,3,
15280254,64669928,74797,640524,3,
15348319,64973995,69329,646187,3,
15290917,64671261,67990,640404,4,
15311184,64780193,69261,642891,3,
15272493,64651968,68394,643690,3,
15339540,64957206,82428,643367,4,
15341126,64909466,79338,641395,3,
15286354,64657031,76423,643106,3,
15440156,65343072,76150,640655,3,
15263088,64601309,66514,642009,3,
15225466,65200202,68172,653058,3,
15179869,64979134,66568,644902,3,
15140867,64859501,64520,641821,3,
15102137,64841610,73340,643109,4,
15157650,64760555,80688,639970,3,
15115988,64964302,74250,642351,3,
15095811,64883212,68790,641779,3,
15210480,64883835,76438,642906,3,
15210072,64934065,70514,644322,4,
15241729,65016993,78234,640165,4,
15299210,64876882,80341,641998,3,
15278329,64601482,65341,641884,3,
15277092,64760621,76290,638906,3,
15348483,64919839,75462,645011,3,
15289806,64674213,72163,640677,5,
15365871,65364655,79706,642632,3,
15206469,65158682,77034,642089,3,
15192396,64949916,78022,643090,3,
15146914,64872613,77622,643333,3,
15115387,64858396,75225,640899,3,
15111546,64729982,67433,639431,3,
15153817,64829141,66064,642040,3,
15119933,64691271,77379,639095,3,
15213635,65069066,75708,646255,3,
15124589,64871095,75944,644456,4,
15260263,64910780,76390,643211,3,
15333486,64871910,68351,640115,3,
15260586,64670416,68967,640060,3,
15401508,65063799,67288,641835,4,
15254417,64688936,66134,640819,3,
15370024,64935619,67829,642667,3,
