duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
11882455,40461217,146983,276201,4,
11313687,40237729,110310,276953,3,
15379191,39136891,84499,276976,4,
15778003,38736237,80122,276495,3,
15751190,38605038,75704,276960,3,
15769791,38737877,77414,278878,3,
15846811,38868012,74579,277341,3,
15744890,38572631,74197,276649,3,
15774721,38622468,75065,276571,3,
15761823,38660822,69203,278666,3,
15822448,38770682,76882,277477,3,
15762152,38706161,77916,275541,3,
15809236,38789883,78761,277563,3,
13619831,38653992,75906,276906,3,
13725325,38933909,75767,278229,3,
13581651,38664750,75152,276632,3,
13657229,38816497,72753,276658,3,
13623676,38722771,70205,277161,4,
13663439,38806571,67201,277961,3,
13590734,38660160,67383,277953,3,
13679978,38843565,80183,276921,3,
13710247,38887779,76073,277052,3,
13754196,39001528,78269,277525,3,
13613537,38715407,75033,277396,3,
13660673,38877282,73698,277425,3,
13756066,39086760,77030,278290,3,
13634468,38679831,66008,278101,3,
13631758,38687645,73245,278363,3,
13658582,38801036,75824,277162,3,
13733514,38840422,74125,279115,4,
13679919,38802482,73714,277592,3,
13654534,38761295,74263,277625,3,
13628021,38794320,75464,278316,3,
13743474,39049333,69370,277848,3,
13623082,38746015,68773,276091,3,
13711849,38931699,78679,277147,3,
13631005,38784412,77186,276354,3,
13633566,38791405,78960,278823,3,
13520435,38615287,69217,277087,3,
12107176,39043204,79977,278676,3,
12066827,38922526,76686,278193,3,
12143286,39161035,81003,277416,3,
12000833,38890702,80562,274595,3,
12024409,38920618,79855,276955,3,
12065731,38900581,74383,278415,3,
12079000,39001526,75170,278321,3,
12022841,38862137,70187,275783,3,
12047191,38943681,74821,276777,3,
12012638,38846931,77179,277069,3,
12028272,38910406,75775,275130,3,
12085920,38972479,74038,277088,3,
12081942,39000542,72700,276449,3,
12023231,38896654,69796,276837,3,
12032992,38918293,71856,276879,3,
12189554,39258828,67778,288502,4,
11974867,38841064,67825,274860,3,
12090098,39010713,78294,278450,3,
12164382,39179967,77323,279590,4,
12047773,38888294,76236,277366,3,
12020604,38889252,78319,276410,3,
12082384,38960831,72436,275887,3,
12051921,38999393,78396,276838,3,
12073849,39016091,79697,276725,3,
12079238,38966623,73653,278032,3,
12020759,38772499,74233,277169,3,
12001267,38803037,77866,277094,3,
13997941,45247430,74309,279964,3,
11991199,38811395,68887,276486,3,
11948569,38840521,66316,278025,3,
10990810,39729201,75613,277773,3,
10819343,39106599,68168,278388,3,
10813105,39097391,64761,278477,3,
10813750,39103119,67269,278417,3,
10886158,39377855,65348,277764,3,
10818911,39028627,66321,276429,4,
10685773,38847147,66456,275329,3,
10775438,39003001,79373,275799,3,
10804714,39108099,73337,277504,3,
10775593,39004048,67203,277134,4,
10806566,39176405,75599,278306,3,
10885233,39278159,79672,279397,3,
10904781,39339647,75026,278720,4,
10841053,39136976,70063,279655,3,
10776184,39029731,68434,277564,3,
10823481,39128637,69646,277809,3,
10740873,38899608,77927,276011,3,
10872258,39315889,79822,276982,3,
10781085,39082982,75965,275721,3,
10783984,39045594,74215,278775,3,
10852186,39178102,69638,277765,4,
10802399,39058985,68557,276848,3,
10803050,39045865,78248,277387,3,
10757115,38957284,77310,275872,3,
10778172,39044019,73339,276563,3,
10799813,39143806,76330,276941,3,
10848134,39223817,68842,281414,3,
10731161,38877201,66457,274243,3,
10854732,39235275,66285,278862,3,
10783034,39075481,72862,277315,3,
10812941,39052920,75879,278189,3,
