duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
14680511,48120720,142358,305072,3,
11794673,47332556,61966,315142,3,
12045262,47212319,86269,305828,3,
11976532,47062601,78500,302866,3,
11974740,47050698,73320,305259,3,
11669198,46894004,75465,303417,3,
11087235,47000642,68325,303871,3,
11126827,47044656,70554,304491,3,
11194497,47193993,74310,307777,4,
11446504,48199205,70942,327301,3,
11110921,47019635,75532,306308,3,
11113214,47012559,66663,304710,3,
11050158,46739458,68565,303898,3,
11168449,47132456,71664,305041,3,
11296813,47679339,81981,306708,3,
11187955,47135388,76246,306434,3,
11206830,47203901,73045,305333,3,
11155561,46986331,67719,304996,3,
11209073,47223651,82082,305514,3,
11214037,47262296,71273,307034,4,
11157762,47002000,66608,303118,3,
11145241,47022568,74711,304306,3,
11153452,46986777,73980,304018,3,
11140373,46998038,66115,303930,3,
11166961,47151632,65771,307096,4,
11120122,46803869,64319,305198,3,
11244348,47374071,64463,305408,3,
11107299,46870559,62084,303453,3,
11187135,47099806,71692,306665,3,
11081647,46756028,65194,304766,3,
11177417,47049994,66023,305556,3,
11182833,47033475,79396,304935,3,
11377138,47928579,77245,308175,3,
11239910,47292052,77094,306014,3,
11166950,47002197,74170,305975,3,
11185829,47099099,74895,304582,3,
11134931,46925230,74889,303526,4,
11166280,47057784,74864,306804,3,
11168149,47121787,73982,305012,3,
11117854,47009657,74316,303682,3,
11106935,46886630,70151,304687,3,
11169446,47061862,77013,304382,3,
11142514,47021538,76759,306087,3,
11258430,47390857,76998,307639,3,
11157668,46995188,74275,305983,3,
11131799,47126965,75196,303522,3,
11126711,46891847,75171,304251,3,
11151086,46934323,66118,304893,3,
11149243,46962311,75609,306802,3,
11195872,47110818,76983,306034,3,
11206500,47159871,72285,306735,3,
11223004,47397936,71837,305312,3,
11187066,47136620,67427,306537,3,
11128544,46911624,65945,304754,4,
11116551,46843237,75002,304304,3,
11255603,47384417,78374,305440,4,
11119073,47047189,70136,303616,3,
11347323,47743510,77281,306280,3,
11133869,47100923,76425,302283,3,
11103424,46996158,69861,304823,3,
11081557,46898482,70000,304460,3,
11143977,47038894,77672,304806,3,
11259758,47420774,76270,306070,3,
11206553,47328314,80014,304700,3,
11114781,46956626,76283,302615,4,
11085216,46904491,66052,304112,3,
11088689,46887210,70396,304194,3,
11065989,46823130,67846,304526,3,
11155437,47067020,77323,303426,3,
11185131,47194374,68310,304047,3,
11209504,47157737,76732,305274,3,
11158602,46941668,73734,304467,3,
11201832,47107423,76192,306105,4,
11112817,46748615,72583,302631,3,
11113295,46930302,73359,306289,3,
11164469,47109937,75137,305306,3,
11145297,47005403,73242,303667,3,
11200972,47142511,73770,306187,3,
11147777,47003675,74794,303881,3,
11122720,46817607,73018,304833,3,
11340122,47746254,77930,305756,3,
11132761,46982751,69700,306068,3,
11241665,47343898,76575,306560,3,
11101626,46872916,65517,303744,3,
11158577,47067153,75568,304670,3,
11252873,47325432,76418,307369,3,
11211492,47202030,75826,305977,3,
11215204,47221816,75181,304107,3,
11220047,47270096,75726,306384,3,
11157320,47030766,65094,305763,3,
11154851,46966944,76547,304168,3,
11153781,46953355,72843,306355,3,
11173807,47002217,74793,305440,3,
11122014,47074432,72835,305959,3,
11188316,47048056,73882,305703,4,
11152906,46844756,74812,306309,4,
11176720,47182748,73960,303909,3,
11164304,46958339,74520,305381,3,
11060100,46698637,62128,304973,3,
11147412,47004031,77372,304130,3,
