duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
20793423,38828301,71455,441204,4,
20700352,38710892,76392,440578,3,
20819783,38867634,69494,441867,3,
20778655,38794338,74602,442521,3,
20878664,38930760,77586,440862,3,
20775563,38776490,76929,440544,3,
20766817,38741560,75429,442542,3,
20828159,38877741,76156,440451,3,
20805123,38841460,71413,441859,3,
20839719,38915644,77201,444402,3,
20783784,38767408,77110,440654,3,
20814756,38859713,73912,439266,3,
12081013,39234957,77292,441720,3,
9334487,39696090,65808,442277,3,
9387784,39751392,69582,440140,3,
9499563,39864677,77565,441127,3,
9372890,39334624,69771,442869,3,
9531735,40108768,81143,438457,3,
9490121,39815626,76673,440970,3,
9472071,39878233,80831,437677,3,
9486880,39782867,72540,440397,3,
9488869,39844823,80572,443122,3,
9515528,39934321,75028,441687,3,
9449781,39638126,76747,441785,3,
9445273,39748897,76976,440636,3,
9424926,39669008,75341,441479,3,
9414607,39626630,76695,438223,3,
9490966,39816169,73878,441032,3,
9469930,39762178,70654,440936,3,
9466360,39760412,68161,439980,3,
9427958,39598249,65549,442157,3,
9502491,39936033,82366,440026,4,
9540787,40187679,75215,442878,3,
9436213,39606445,74771,443210,3,
9531466,39921752,75685,441619,4,
9397564,39435159,68302,442373,3,
9420832,39639268,79587,442001,3,
9437497,39620960,73861,443257,3,
9418004,39724166,77646,440933,3,
9490183,39815616,70678,439816,3,
9447586,39609497,77078,443492,3,
9442793,39692342,75668,438570,3,
9450924,39678599,75862,441616,3,
9483386,39923327,84127,439889,3,
9492471,39848638,73029,441027,3,
9460641,39656234,77242,441382,3,
9534026,39967504,76653,439688,3,
9424038,39547618,66331,441271,3,
9430330,39709293,76927,442308,3,
9484956,39832919,76705,443514,3,
9479734,39886221,79012,440600,3,
9459253,39691761,75662,443395,3,
9455566,39687683,70688,440501,3,
9451162,39770640,76182,438814,3,
9480807,39785813,79635,440351,3,
9484517,39890978,77907,441106,3,
9428354,39586892,75856,442181,3,
9429669,39572452,74150,440570,3,
9496332,39848255,67855,440356,3,
9405771,39609352,68041,442064,3,
9425754,39663801,77610,440055,3,
9514020,39904034,76957,440846,3,
9423754,39722171,77173,439049,3,
9493248,39971992,79464,441413,3,
9460767,39602591,75780,440114,3,
9453262,39756909,73541,439086,3,
9493123,39827453,78013,439655,3,
9451338,39706342,76139,441468,3,
9522584,39973182,78798,439713,3,
9417295,39653672,74228,440570,3,
9453138,39693498,67309,442622,3,
9430255,39556358,68390,441354,3,
9508135,40030563,80437,440535,3,
9486460,39746734,77271,442123,3,
9448010,39768948,77990,440140,3,
9520737,39962494,76517,441281,3,
9482963,39774759,81756,441767,3,
9505336,39869488,72199,440429,3,
9476557,39761387,81440,442040,3,
9445948,39734079,78101,441080,3,
9467894,39761500,75445,442410,3,
9439740,39788504,76601,439845,3,
9545345,39951965,75263,442663,4,
9409671,39490804,80525,442489,3,
9462124,39770978,76376,439498,3,
9519241,39945683,77355,443376,3,
9410993,39610316,79388,439879,3,
9484122,39743283,77656,440542,4,
10621607,44716568,79136,438965,3,
9497280,39941477,77129,442529,3,
9391903,39543781,74959,439975,3,
9486348,39835874,76358,439252,3,
9422676,39545733,79204,442463,3,
9503241,39962426,78954,438625,3,
9472820,39746576,66586,440157,3,
9464575,39827952,78970,439356,3,
9430798,39590274,70877,443418,3,
9525989,39973362,76994,442983,4,
9453550,39676231,75853,442921,3,
9510972,39922577,75659,441024,3,
