duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
13688783,48424850,71837,526988,4,
13013581,48218030,74376,523763,3,
11432360,48422335,69150,525032,3,
11534202,48808749,80279,524203,3,
11447432,48444208,74012,524997,3,
11559753,48745023,76774,527626,4,
11460463,48516237,78101,525652,3,
11521697,48627409,75229,524178,3,
11511557,48459788,71687,525509,4,
11463998,48410189,64769,525182,3,
11531163,48593160,66863,525711,4,
11472651,48527740,73103,523316,3,
11403704,48372302,70484,524588,3,
11549413,48769964,78677,525972,3,
11494686,48576159,79530,524800,4,
11531123,48694730,75439,525163,3,
11469235,48507385,78672,527251,4,
11418961,48382229,71217,525700,4,
11566890,48829948,78071,524297,3,
11568224,48665101,69487,525530,4,
11430045,48330274,74873,525931,3,
11628182,48985191,75132,524841,3,
11468642,48565508,65284,523289,2,
11516811,48714128,64466,525824,4,
11387321,48499021,73631,525139,3,
11597160,49461098,77343,528212,3,
11433061,48565468,74866,526077,3,
11441460,48678064,78447,526569,4,
11415033,48658461,78628,524717,3,
11439570,48442716,79083,524143,3,
11514768,48621193,75712,524232,3,
11576716,48877745,76891,528603,4,
11480008,48573655,81114,523109,3,
11441466,48436056,75965,523278,3,
11578030,48995051,74605,524118,3,
11646911,49130858,65524,524432,3,
11620900,48864888,79436,524683,3,
11833424,49566454,85933,527364,4,
11627136,49116643,68361,526572,3,
11635976,49034943,65306,526228,3,
11607192,49047983,65115,528574,3,
11713797,49238303,67230,527196,4,
11697842,49234077,65664,526738,4,
11619615,48954667,66872,526035,3,
11555375,48808323,66336,527195,3,
11530643,48575046,74130,527588,3,
11533571,48679605,71216,526716,3,
11496421,48531092,66806,524690,3,
11544060,48637227,68270,524248,3,
54115322,48195389,146899,523406,3,
17101607,47999061,76668,526574,3,
12615528,48419028,82672,526301,4,
11459286,48936963,80785,527023,3,
11495695,48966815,81729,524727,4,
11441856,48792605,71317,525544,3,
11618320,49058378,74373,525766,3,
11538017,48624927,77961,525384,3,
11544837,48637273,74997,525195,3,
11515103,48620592,75453,526039,3,
11696359,49201666,78536,526697,3,
11541944,48759838,76409,524567,2,
11485420,48545065,66222,524773,2,
11565193,48696717,77208,526204,3,
11507910,48591436,69690,525420,3,
11521121,48549869,66176,525351,3,
11526740,48654506,70725,527557,3,
11551392,48727457,78852,524965,3,
11607957,49008844,76368,524816,2,
11501721,48622356,75992,524667,2,
11587932,48730552,78755,526889,4,
11574242,48866869,81098,528361,3,
11547216,48816823,82950,526274,3,
11493980,48786677,81266,526167,3,
11560604,48662087,78188,525332,3,
11532545,48666288,73885,525592,4,
11600320,48791193,72138,527735,4,
11498081,48532696,68464,527281,3,
11652338,49114513,75042,525771,3,
11493462,48607410,71267,524024,2,
11487578,48527762,72508,526365,3,
11550878,48602664,67730,524479,3,
11478919,48476373,70100,527851,3,
11599097,48999262,70298,525261,2,
11422633,48282531,63297,525234,2,
11548898,48668455,68064,524273,3,
11544893,48749239,80537,525605,3,
11606746,48872700,79607,526522,3,
11465775,48440923,77489,524899,2,
11567705,48746540,77837,525571,3,
11546732,48718077,74873,525232,2,
11608505,48995713,78873,528249,3,
11528057,48754988,75468,523376,2,
11539858,48647425,66931,526588,3,
11509135,48625632,72872,522543,2,
11493744,48619114,77991,524328,3,
11518296,48688556,76599,523402,2,
11570597,48759769,74707,526336,3,
11543476,48658600,72269,528230,3,
11611761,48802010,80058,526086,3,
11618720,48876415,81106,525188,4,
