duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
18991276,80548123,76721,748129,4,
19000325,80631487,73443,749617,3,
19042683,80757896,75510,751054,3,
18961330,80588621,72820,748579,3,
19056768,80990755,76375,751499,3,
18931350,80433489,68148,751134,3,
19276691,81799237,76353,749926,3,
18907922,80304995,77410,747858,3,
18992173,80611969,71931,750664,3,
19026335,80860494,72357,753035,3,
19024616,80945467,72793,754012,3,
18836375,80731928,77379,746617,3,
18769888,80555171,74197,749659,3,
18960599,81195653,77212,750198,4,
18746487,80534382,64610,748843,3,
18817152,80955271,65601,753160,3,
18845561,80776986,76684,752842,3,
18806462,80903582,75488,750856,3,
18772780,80821270,67508,748844,3,
18753267,80652424,74019,744755,3,
18843153,80879021,79473,749619,3,
18719082,80788178,75060,747865,3,
18750617,80766812,68548,746044,3,
18831665,80838384,78836,749222,3,
18710502,80735646,72208,748119,3,
18704693,80529863,64236,748138,5,
18769460,80859430,65083,749375,3,
18714670,80747716,65471,752397,3,
18710593,80776892,69314,747913,3,
18733726,80717786,63556,747841,3,
18732117,80644218,66049,746034,3,
18787920,80622659,79996,745336,4,
18705838,80741448,71532,752285,3,
18761284,80741187,64032,748639,3,
18736526,80719244,66385,746666,3,
18773633,80649017,72997,750498,3,
18964899,81852381,74295,750650,3,
18965615,81349888,80294,752146,3,
18748954,80405211,77386,745851,3,
18826782,80901086,73492,746999,3,
18718028,80745153,73547,745854,3,
18718480,80660206,69984,747778,3,
18751734,80811782,68685,747097,3,
18762632,80646284,69713,747312,2,
18872714,81024212,75550,747110,3,
18997128,81071023,80585,746720,3,
18969955,80702519,77191,749082,4,
18849024,80341574,68070,747811,3,
18926322,80558953,68959,745925,3,
18990549,80773838,78881,747103,3,
18776921,80820254,76437,748784,4,
18770762,80767004,81684,747396,3,
18815465,80680035,78208,748028,3,
18734508,80765563,75980,744725,3,
18742439,80657433,67171,743770,4,
18860279,80764397,73489,749115,3,
18723284,80784575,73777,747809,4,
18733577,80588939,75883,749186,3,
18992403,80721031,76784,747184,3,
18959041,80557116,69708,750353,3,
19055986,80802283,83575,747734,4,
19020836,80670736,79101,750059,3,
18940309,80641062,77040,745741,3,
18944271,80659876,67806,748522,3,
18972756,80630465,75149,745922,3,
19022253,80726058,79945,746251,3,
18953014,80628274,75686,751048,3,
19019752,80811929,78815,747880,3,
18997251,80589746,67709,750968,3,
18969113,80520707,78726,745015,3,
18971933,80462408,78029,749040,3,
19026376,80763850,76721,747772,3,
18942375,80613247,75310,748688,3,
18985286,80820405,70946,748314,3,
18943114,80665125,68153,747729,3,
18870321,80633300,71349,744812,3,
18994532,81433863,82398,749938,3,
18877425,80948847,79306,748794,4,
18898077,80928202,78458,751216,3,
18892528,81153046,80180,748290,3,
18858829,80926023,75808,750228,3,
18779564,80929481,76850,749696,3,
18898344,80911966,79241,749645,3,
18788923,80709542,81002,749422,3,
18868671,80906925,77383,750666,4,
18855207,80946256,77021,749595,3,
18937296,81005373,67946,748317,4,
18882956,80970088,71480,750892,4,
18793019,80594111,81101,745219,3,
18840804,81041943,77148,750361,3,
19034975,81574989,80806,746689,3,
18854138,80705168,77191,749117,3,
18852723,80836293,79656,749065,3,
19027829,80733028,74712,749004,3,
19014483,80699703,76987,749314,3,
18996305,80676403,71045,748025,4,
18996542,80617994,79084,749755,3,
18786020,80499519,76921,751011,3,
18877352,80952978,80779,751510,3,
18795898,80929777,74476,745271,3,
