duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
61367423,265800269,73092,4130147,3,
61534445,266399141,73672,4116901,3,
63318910,274500859,66702,4122216,3,
60236667,261076066,80355,4150474,3,
60218273,265677318,80646,4120973,3,
60415652,266995349,113443,4122623,3,
59488597,262490615,80331,4141726,3,
60467048,266813372,75297,4118892,3,
60786540,265658160,77284,4121866,4,
61650990,267071630,80969,4118423,4,
59305497,262046868,84083,4141661,3,
60051187,265169073,83217,4122490,3,
60548537,267605943,84048,4106999,4,
60357593,266918470,84070,4119255,3,
60422374,266489007,78850,4120335,4,
60670781,267758134,72649,4115942,3,
60709569,263532662,80656,4138745,3,
60023444,261413437,80614,4148885,3,
60066193,265622979,81902,4116381,3,
59335858,262007116,83185,4145772,3,
60048718,265599266,83561,4117667,3,
60269041,266395779,84390,4113732,3,
60305186,266097182,80159,4128432,3,
60300640,266336575,79226,4119509,4,
59840224,264086962,77404,4127724,2,
60169099,265867834,73817,4124225,2,
60290113,265800398,76799,4126810,4,
60361145,261278496,76166,4142473,3,
61613369,268831658,72180,4109081,3,
60300281,266286353,75470,4117023,3,
61427154,266099499,80022,4123823,3,
60887578,265405657,83291,4127205,3,
60216283,266058487,81145,4132284,3,
61297067,265908515,74475,4124099,3,
60976579,265398608,80249,4123046,3,
60191357,265692447,79183,4118297,3,
59327194,262345675,81021,4138176,3,
60195040,265723077,81565,4126359,3,
60776627,268399156,82399,4114209,3,
60372818,267049565,81899,4117009,5,
59940930,264712720,80620,4128000,3,
60752599,268919391,81311,4103821,2,
60279958,266024448,82292,4128034,3,
60272963,266311880,78964,4117232,3,
61044678,264657582,82222,4131212,3,
60111815,262271251,79177,4134322,3,
60112166,264442791,70962,4125680,3,
61506421,266855609,86386,4118958,2,
60778922,264584468,78777,4130816,3,
59451343,262380563,80760,4141531,3,
61524741,267075916,72787,4113365,2,
61432245,267253196,80306,4112976,3,
60259722,266676210,81207,4115775,3,
60276724,265644753,80122,4126943,3,
59355037,261869976,83663,4146989,4,
60107684,265681758,81146,4127584,3,
60560449,267252759,80874,4110751,3,
60455174,266726794,80010,4116528,4,
59410852,262051676,77042,4143262,3,
60427333,264658653,72697,4128146,2,
61651990,266981833,78901,4120907,2,
59918598,264356067,79260,4129739,3,
60882952,268944078,83731,4103647,3,
60137575,265687948,76636,4120085,2,
60015434,265075138,78036,4130540,4,
60197220,266006768,80664,4128438,3,
59319454,262168812,81191,4141282,3,
61218747,266170919,80238,4129262,3,
61480046,267058739,80624,4116912,3,
59561406,262854313,75466,4138819,3,
61279051,266740844,80001,4120214,4,
61316374,265800327,85279,4124653,3,
60106317,265342475,79312,4123922,3,
60986804,265888880,82282,4122758,3,
60003165,261207872,77436,4139724,2,
59146951,261373506,72083,4145116,3,
60125086,265311535,78581,4127349,3,
59356516,262082971,77843,4146086,3,
62232113,269396202,80981,4106159,3,
60917374,265631811,81655,4114174,3,
59462076,262439069,78096,4139399,3,
60184817,265772502,77761,4123604,3,
60332331,266245077,79614,4118388,4,
60455817,266741376,78025,4123122,3,
61195594,266049572,78844,4120373,3,
61907962,268856881,84111,4113373,4,
60786269,268351563,80194,4113091,3,
60247639,266593529,81916,4118150,3,
60163864,266098508,77860,4123644,2,
60358509,266603025,77510,4111674,3,
59489507,262694561,74307,4140550,3,
60298824,266181263,81560,4118626,3,
59837248,264110388,81875,4132243,3,
60319008,266720780,81422,4118982,3,
60292167,266757800,83335,4108355,3,
59958368,264879249,76576,4127627,3,
60336899,265862865,79660,4121833,3,
60195132,266086948,78297,4120124,2,
61298611,266198727,78713,4121017,2,
61233720,266553403,81253,4120941,3,
