duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
699383313,3197669776,90156,54084408,5,
712036709,3256589829,86197,53811413,4,
704002513,3210278818,85877,53991414,4,
703483876,3203006010,85145,54022148,4,
713163414,3258963031,100519,53829225,4,
699276247,3199704341,94792,54094152,5,
702572536,3207271273,84607,54004111,6,
708932560,3234939612,92225,53880541,4,
708728030,3241239875,88889,53926378,5,
712033340,3256674255,73795,53788251,4,
708729217,3242740092,84246,53873898,4,
714899942,3258063527,79730,53826477,5,
701778823,3195633694,95354,54062109,4,
701720561,3209952945,85938,53989203,4,
713195210,3258083359,76603,53807069,4,
713151502,3261221358,84062,53782813,3,
703373486,3217176951,83183,53993225,4,
699811220,3199582989,83643,54041013,5,
711608505,3255404943,74039,53816247,4,
702735471,3203306219,83858,53988289,3,
704216197,3211037905,86248,54012621,4,
713864428,3255051877,81244,53836701,4,
711238568,3250724479,78018,53793410,3,
703380425,3213287092,84280,53966364,5,
709017124,3243174932,84825,53872783,4,
705041912,3226037389,80538,53951748,4,
713647455,3262556205,78296,53777519,3,
705632897,3215488122,91812,53987997,4,
713378531,3251966082,88343,53798179,5,
713333355,3254465261,84078,53807543,3,
703636974,3206314107,88195,54034929,4,
712335261,3258425752,84080,53817390,4,
711808644,3257749068,83396,53838941,4,
699872318,3201142771,84246,53989170,3,
707510114,3231456980,88041,53886613,5,
710050852,3237411781,88978,53901883,4,
702378076,3202803636,84744,54049324,3,
714942524,3257453410,84886,53815644,4,
711716019,3252496719,86173,53871054,4,
712971658,3256254741,83285,53804216,4,
701357561,3208280785,84920,54024848,4,
709670546,3243046402,84391,53928903,4,
702906231,3213557100,88181,53976196,7,
713831623,3254679730,85156,53808792,3,
706106904,3220762198,83593,53964527,4,
706386330,3226191184,85988,53933051,5,
714072861,3256403586,83163,53816712,4,
702846804,3214843211,87909,53989874,3,
712947626,3260973109,81305,53792899,4,
704901907,3217796046,87777,53987696,5,
700237275,3201294307,80815,54042736,3,
702682131,3205146354,87331,54023137,5,
711558660,3245871503,83389,53842339,4,
714130843,3253269236,86043,53850724,4,
713042358,3261021093,83117,53835202,3,
708582106,3238809379,85897,53884839,4,
712859991,3257328074,76868,53796764,5,
700636902,3197575636,95267,54059050,4,
700952740,3203284821,101310,54073982,4,
702294602,3198639772,94045,54059096,4,
701671917,3200505566,95680,54059835,5,
705909858,3202053586,95157,54080091,3,
709688140,3234749576,98380,53908990,6,
709268508,3228767271,91968,53921712,4,
702376923,3207683861,91232,54007518,3,
716276890,3262825907,91017,53821825,5,
701078576,3196202451,89825,54049987,4,
699793474,3199440816,88672,54072714,5,
703432679,3216820745,89259,54006420,6,
710672936,3249008191,87378,53863251,5,
715743318,3262850114,81359,53816594,4,
715654448,3259751218,87577,53814125,4,
705353269,3211643647,94315,54029452,4,
710757456,3248831597,91447,53862024,6,
712544707,3259889311,83914,53793642,4,
704359463,3222708894,83863,53967880,3,
714898338,3258040122,83457,53819320,5,
714464543,3258383439,85231,53811650,4,
701020744,3207200112,84662,54015534,3,
704259284,3210395171,96145,54084184,5,
700843309,3203472681,100730,54057662,4,
700724090,3200920626,92065,54040955,4,
711638053,3255047794,89110,53780923,5,
709543093,3244775552,87396,53830084,4,
701966471,3201914004,89706,54064627,4,
702312334,3201673293,90961,54033426,5,
702089828,3199288932,90833,54052774,4,
701944491,3198172736,90988,54049528,5,
702255441,3203108580,79898,54061416,3,
699423226,3199827307,84836,54063652,4,
698766312,3194830299,88348,54059826,5,
699427432,3200037412,75558,54061718,4,
702835693,3201993821,124796,54078874,4,
699699550,3199793460,97215,54063859,4,
701107756,3200700264,86799,54050380,4,
699375079,3197471535,90143,54062642,4,
699574996,3199436210,85837,54043585,5,
700215013,3202062780,86465,54062398,4,
699286697,3199481573,86852,54047645,6,
700441461,3198819830,89834,54060144,3,
