duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
409897495,1867543558,88276,43861651,3,
408212603,1864309925,84841,43886298,4,
408529975,1864820441,85608,43870653,4,
408217044,1863558112,86710,43886678,4,
408135681,1863307061,82587,43868031,3,
411059165,1864357484,123530,43880940,3,
408249632,1864233091,93288,43885448,4,
410776732,1865520690,83661,43869354,4,
408406325,1864876189,85307,43879468,4,
408235563,1863705345,88694,43888159,4,
408670681,1865043356,84592,43883219,3,
410781313,1864025461,96651,43873052,5,
409460632,1867838282,100192,43865758,3,
410234018,1863821155,86857,43882433,4,
410689791,1864149009,87981,43879826,3,
408415177,1864381566,88283,43874194,4,
408345879,1864523152,87646,43850019,5,
409125089,1864459573,76298,43875648,3,
412064030,1864646108,92044,43885609,4,
410479310,1863880254,85787,43867443,3,
410745807,1864994896,84461,43857883,4,
408517642,1864255184,85250,43867805,5,
408489420,1864466734,83285,43885271,4,
408644915,1863837931,88196,43878072,4,
407804787,1862506162,86347,43884603,3,
409238430,1866655274,89241,43887486,4,
410420729,1864705744,87404,43879162,4,
408426345,1864555878,85311,43874242,3,
408463777,1864843203,87162,43868499,5,
408258066,1862963751,88649,43887575,3,
409354813,1864901972,80736,43864779,4,
411979752,1866572281,91591,43863670,5,
408668262,1865322701,91891,43859627,4,
410440296,1864085029,85044,43856036,3,
410141457,1863513136,85206,43879793,3,
411227723,1864056828,93484,43904163,4,
408887466,1865378822,95759,43868337,4,
408832982,1865011626,87487,43873651,4,
408658838,1865125947,86224,43863949,3,
408543340,1864619632,85230,43882037,3,
410559832,1864271204,84973,43873543,5,
410466286,1864360116,85184,43887845,3,
408205987,1863278392,84456,43870121,4,
409525040,1866863517,83848,43877437,3,
408802553,1864017462,90940,43877500,3,
408134501,1863341031,88197,43876836,4,
408610213,1864448889,85274,43868865,3,
410213169,1863487330,83261,43882859,4,
410256721,1863024536,86526,43891405,3,
408506436,1864235860,85250,43875870,4,
408801276,1864464182,87134,43885971,4,
408353516,1863921221,83941,43878869,3,
408166074,1863204378,83195,43894311,4,
408171135,1863975323,86651,43858401,3,
408277908,1864134195,84216,43871900,4,
410401175,1863792026,80873,43896462,3,
410176940,1863699855,85413,43874260,3,
410903286,1864088081,120559,43876490,4,
409010725,1864678894,91806,43852243,3,
408733855,1864999714,86285,43873888,5,
407964541,1862844863,85022,43887696,3,
410588567,1864791428,85120,43868739,4,
410218165,1864053002,87091,43866605,3,
410189961,1863668068,82760,43876934,2,
410939588,1867162478,87523,43885023,4,
408171347,1864518058,87841,43880006,4,
408796933,1865979092,84434,43870934,4,
408597469,1864728201,75974,43878803,2,
410702192,1864512306,86512,43868142,3,
410945759,1863856885,85695,43877358,5,
408878894,1864780172,90017,43862341,3,
408934272,1866747916,83973,43871812,4,
408034286,1863750390,85507,43868722,4,
408371333,1864209082,88399,43865751,4,
407609650,1862285344,86364,43910234,4,
408349890,1864131233,85974,43867438,3,
410626096,1865048495,84652,43867451,4,
410422524,1863411739,82036,43869332,3,
408204914,1863647658,86825,43884969,6,
408796115,1865343619,86671,43862310,4,
408271626,1863717147,77973,43885943,3,
408386987,1864164417,85094,43890107,5,
408993929,1864272718,85649,43874016,3,
410795426,1864042883,89011,43873392,5,
411035632,1864930036,96765,43890788,4,
408308900,1864416834,89924,43883282,3,
408067712,1863882195,86578,43877063,3,
408099793,1864039413,85895,43882238,4,
408867595,1866480132,86462,43861229,4,
408210145,1863666825,81620,43869185,2,
410659391,1864228124,86672,43876399,4,
410683914,1864603128,83161,43873335,3,
408569213,1865150284,85375,43872249,3,
410487043,1864161809,83258,43864920,5,
409795424,1864686240,93095,43868636,3,
408727896,1864075221,98008,43845069,4,
408633436,1862352860,88807,43900357,3,
410316720,1863991165,90621,43866926,3,
408461412,1864369452,93347,43866717,6,
410382808,1864992266,87572,43881857,4,
