duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
23682816,43710256,144138,293024,3,
13391687,42919502,66674,291871,2,
10192775,43991398,88286,294873,3,
10233950,43780974,79197,292196,4,
10103462,43551291,78848,290148,3,
10375655,43595266,76352,293743,3,
10365775,43707769,78061,292893,3,
10467166,44051671,78098,293713,4,
10302098,43509461,79123,291998,4,
10265566,43397990,72087,291334,3,
10295752,43637374,79808,291381,3,
10292370,43349554,76150,291080,4,
10352636,43658884,74885,293657,3,
10380494,43552591,78324,293816,3,
10318883,43476954,77804,290985,3,
10255287,43281261,78286,291340,4,
10302844,43415943,73723,293115,3,
10308075,43502466,81330,292142,4,
10270718,43262433,74761,291508,3,
10276523,43368590,66717,292645,2,
10259319,43376783,70497,291919,3,
10286372,43429245,71084,292226,2,
10295080,43400628,74079,293307,3,
10308920,43467204,77693,289899,3,
10300720,43395802,65853,291714,3,
10306717,43554880,68357,295435,4,
10301366,43428228,77001,292579,3,
10335495,43529818,69879,291564,3,
10272215,43406591,73384,293056,3,
10399630,43897601,73018,292225,2,
10329526,43471270,72427,291431,3,
10382265,43808184,78980,293277,3,
10239917,43165467,64735,289842,2,
10284529,43426006,71593,293241,4,
10312249,43500718,77262,292648,3,
10304056,43462856,76822,292558,2,
10247497,43266503,73601,292067,4,
10295213,43476259,79798,292700,3,
10368855,43406653,73833,293671,4,
10271594,43251674,76326,291688,3,
10341903,43645294,67164,290585,3,
10307573,43499433,66939,292761,3,
10307237,43473203,77343,290946,3,
10339215,43404930,67397,291547,4,
10231248,43257752,70295,290743,3,
10342108,43646864,70799,292076,2,
10285152,43370438,73428,292377,3,
10422117,43948274,77522,292322,3,
10576074,44639404,73116,311226,2,
10368087,43490730,75066,292960,4,
10299364,43391678,78185,292054,3,
10295264,43323432,71415,291293,4,
10415320,43921067,76936,293777,4,
10311072,43322630,67848,291519,4,
10266581,43287730,67291,291142,3,
10263433,43282555,67097,293132,3,
10303830,43400089,74431,290728,2,
10288898,43348173,72786,294090,3,
10269695,43306373,77299,291658,3,
10238330,43196383,66428,290986,2,
10258276,43263837,70969,291396,3,
10381972,43755103,75297,291332,3,
10328379,43463843,73267,291013,3,
10283017,43336804,77657,292000,3,
10490288,44116145,74270,294587,3,
10408421,43792776,75275,293886,4,
10281438,43434289,80373,291863,3,
10360463,43589233,71811,294077,3,
10265129,43309775,66536,290939,2,
10273580,43177718,72119,293693,4,
10312693,43295212,69844,292722,3,
10198508,43121438,67598,290760,3,
10338477,43479043,73432,294093,3,
10351916,43378069,70643,291739,5,
10367577,43627907,77257,293955,3,
10465049,44027663,78135,293726,3,
10364156,43514356,73739,292129,4,
10288370,43290136,71551,292391,3,
10378268,43615980,76010,291535,3,
10290698,43375832,75283,294102,3,
10315195,43351208,73526,291777,3,
10290572,43277596,74202,291503,3,
10270421,43132794,71669,292292,3,
10341676,43483141,74293,292787,3,
10317140,43385959,69879,294050,3,
10358376,43587170,74182,294573,3,
10324293,43438175,66116,292891,3,
10305948,43443531,68568,292858,3,
10373108,43605117,64552,292856,3,
10270140,43327662,71626,293773,2,
10239834,43176170,68668,291371,3,
10450755,43902742,77310,292463,3,
10396202,43565262,73373,294893,4,
10311029,43364605,73223,290787,3,
10320801,43493734,74421,291960,2,
10405443,43616317,73999,295837,4,
10508343,44343453,74494,290528,2,
10277485,43326569,72382,295311,3,
10274992,43349933,72996,291020,3,
10276294,43328807,66042,291635,2,
