duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
33847302,144480606,73921,1676677,2,
33516283,142863317,67077,1677267,3,
33785013,145768866,78738,1680963,3,
33691453,145304362,79099,1676959,3,
33663986,145270156,79294,1675684,3,
33686891,145338064,79679,1679338,3,
33289221,143881693,72856,1680806,2,
33762849,145773452,79056,1680718,3,
33498489,144968012,78972,1692567,3,
33533356,144936013,77811,1675087,2,
33601071,145293880,75985,1693590,3,
33512593,145011321,67381,1677533,4,
33697441,145427166,78101,1676075,4,
33036142,143127771,77862,1677532,3,
33705211,145478297,71785,1685879,3,
33539428,144790372,77241,1675510,3,
33410718,144498200,78681,1677983,2,
33463200,144293946,66766,1678099,3,
33662883,145232447,81367,1681447,3,
33570223,144853787,79231,1680612,3,
33164524,143421917,75707,1677762,3,
33476256,144695696,78023,1680993,3,
33536504,145102810,71258,1675434,2,
33649174,145542197,80170,1680782,3,
33593260,145047309,74048,1677991,3,
33712942,145806729,77692,1678209,3,
32988120,145268915,66700,1678220,2,
32679426,143678282,77457,1679849,3,
33272579,145318384,79696,1678313,3,
33597911,144920989,79900,1674058,3,
33673311,145184965,96074,1675506,3,
33557236,145084263,95988,1674660,3,
33319420,144216243,77260,1674634,3,
33159376,143394353,79949,1686203,3,
33208061,146428331,77024,1679936,3,
32590737,143606295,79424,1679154,3,
33040533,145177730,82054,1677131,4,
32958072,144890007,81736,1677565,3,
32793363,144255471,78129,1681837,3,
33551594,145149518,76387,1675846,3,
33527777,144751901,79582,1677007,3,
33525839,144679502,85001,1675684,3,
33495140,144656540,84408,1687768,3,
33281712,143669236,78326,1683624,4,
33525185,144757055,73895,1674513,3,
33632515,145019977,76345,1677816,3,
33419287,144670818,80745,1680914,4,
33555863,144933835,76309,1673621,3,
33244611,143483601,79907,1682798,4,
33560468,144765116,75283,1680641,3,
33124777,145881322,79410,1682141,3,
32576225,143323840,78477,1677793,3,
33140645,144304021,80879,1679437,3,
33982832,147019888,77928,1677518,2,
33500527,144705663,75882,1675001,3,
33464113,144498821,66365,1673169,3,
33444941,144409805,77999,1682450,4,
33512802,144796939,80176,1677778,3,
33642359,145235570,74694,1678766,4,
33175841,143654743,81435,1675926,3,
33455814,144845163,65002,1676938,3,
33236538,144019285,70425,1678881,3,
33399346,144463903,68441,1681499,3,
33578340,144938189,77863,1675633,4,
33647002,145129342,75172,1678216,3,
33481178,144359161,74847,1676300,4,
33670708,145271890,67728,1678900,3,
33499292,144401541,78964,1674095,3,
47568655,145811948,150250,1673952,3,
33548914,144709692,63427,1675189,3,
33635281,145060519,81323,1679789,3,
33472803,144795225,80089,1675914,3,
33388025,144244480,83610,1681014,3,
33744147,145356860,79870,1684941,3,
33438284,144724199,79556,1678333,3,
33530168,144663446,82817,1679487,3,
33556163,144757979,79171,1681821,3,
33514243,144495684,70778,1681642,3,
33636200,145101730,80599,1679863,3,
33556543,144930192,81219,1680252,3,
33474508,144909232,79906,1676797,3,
33452517,144456881,77715,1677313,4,
33632915,144946692,76161,1682203,3,
33145784,143289004,77518,1684049,3,
33922231,146560073,113326,1680593,3,
33453459,144812952,91422,1685893,3,
33583330,145350029,67012,1686133,3,
33641764,145282832,79090,1681351,4,
33447770,144622196,75500,1673779,4,
33488717,144597369,80632,1677182,4,
33559314,144822884,72120,1679447,3,
33549986,144789515,80736,1677731,3,
33598856,145046187,80733,1675331,3,
33706603,145354329,78925,1676338,3,
33505470,145007806,81620,1678647,3,
33411345,144275458,73830,1682338,3,
33537365,145181975,75540,1677584,3,
33553467,144758036,79760,1677103,3,
33392235,144036781,73683,1682156,3,
33635458,145086418,79886,1673474,3,
