duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
22039921,93663450,76745,1300181,3,
22041649,93834030,76424,1294036,2,
21757167,92418318,77385,1313133,3,
21958424,93619999,91818,1310111,4,
21691779,93590041,90563,1301736,3,
21875845,94090873,77369,1296437,3,
21491491,92387820,74359,1313092,3,
21702285,93139839,75133,1307839,4,
21752993,93819344,71828,1297200,2,
21952047,94602455,72671,1299693,3,
21544182,92963034,72291,1303666,2,
21847931,94000092,77095,1298991,2,
21796598,94075109,72738,1295101,2,
21793602,93717518,72755,1299190,3,
21803825,94059417,74008,1299395,3,
21627364,93150936,74963,1310420,3,
21639316,93332629,71286,1302676,3,
21735778,93615413,66969,1297954,2,
21449516,92221687,76858,1308426,2,
21531733,92460782,71111,1306693,2,
21519429,92625133,72887,1303762,2,
21845442,93919647,74586,1295775,2,
21822638,93918571,74498,1301747,2,
21841388,93890025,66030,1297404,2,
21779829,93789688,77909,1296157,2,
21914692,93976737,74600,1297017,3,
21464051,92264089,78467,1310049,3,
21845633,93888122,79068,1296377,3,
21795006,94103149,72793,1294591,2,
21897780,94074253,69078,1295825,4,
21846970,94118352,71708,1296682,3,
22062138,94854787,68833,1315708,3,
21887372,93960463,80294,1299657,3,
21954893,94189309,77559,1294654,3,
21958912,94378429,77596,1296273,3,
21840537,93821337,74680,1296298,3,
21533306,92557697,78649,1312612,3,
21825205,93888435,73706,1297492,2,
21950211,93362969,67295,1304447,3,
22108213,94100003,76099,1294335,2,
21849436,92842268,75843,1333391,3,
22117654,94077822,78259,1297240,3,
21591133,92630819,76771,1312445,3,
21836319,94217756,79099,1299173,3,
21571048,92940534,74445,1307017,2,
21883660,94148125,76838,1300063,3,
21619134,93324550,71377,1306629,2,
21852396,93824953,69640,1297793,3,
21561968,92810190,78245,1310638,3,
21529933,92409734,79842,1308897,4,
21784543,93813302,79711,1298518,4,
21680112,93042463,74210,1307214,3,
21525298,92487188,79996,1313145,3,
21886927,93688364,76815,1301973,3,
22048939,93855277,74037,1294996,2,
21992076,93700058,79090,1298591,3,
21762061,92454508,72020,1306462,3,
21703248,92404027,74319,1310462,2,
21807938,92572246,71257,1309673,3,
22077516,93789136,80110,1300122,3,
21724999,92291340,73566,1309984,3,
21853678,93678254,77510,1301189,2,
21698480,93330207,79440,1304863,3,
21778083,93946141,76456,1297496,2,
21816883,94021782,75024,1297472,3,
21455535,92435107,78795,1313985,3,
21924761,94452405,74464,1314729,3,
21792435,93685008,76120,1300464,3,
21884872,94142682,78644,1298224,4,
22099130,93888364,76465,1294998,3,
22096196,93894434,72042,1296495,3,
22109703,93960254,77567,1297832,3,
22063245,93729353,66245,1295276,3,
22047965,93715116,72684,1298287,3,
22026196,93644564,66147,1299694,3,
21665744,92134652,68613,1308259,4,
21999653,93760121,69547,1294039,3,
21984840,94011354,68908,1297721,3,
21841163,94137653,76795,1297543,2,
21506623,92649846,67622,1307009,3,
22027809,94088657,65856,1298342,4,
22162528,94294113,81339,1295954,3,
22091816,93933729,79917,1297669,3,
21924882,93193378,74057,1306554,5,
21934985,93935382,77496,1299457,3,
21756671,93641157,72497,1300321,3,
21774240,93959067,68575,1299177,2,
21411771,92132470,74795,1306566,2,
21618039,92957710,78195,1313439,3,
21795262,93861087,72525,1297803,3,
21761542,93759573,73365,1306069,3,
21829025,93980588,77407,1295853,3,
21857732,93910744,78563,1297606,3,
21996957,94265731,79116,1294921,4,
22061813,94958664,112934,1297920,3,
21947567,94332996,86856,1300903,3,
21882098,94343160,77456,1295624,3,
21977611,94513014,76596,1299048,4,
21509641,92645325,76167,1321138,3,
22184221,94101824,77613,1300960,4,
