duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
17233190,72915792,79588,1108708,5,
17199736,72849983,76011,1108012,3,
17300210,73338875,76972,1106563,3,
17471922,74104782,73678,1091064,3,
17451472,73957857,73940,1093772,3,
17393303,73685634,77012,1095763,3,
17272602,74133415,73794,1093733,3,
17288974,73984247,73572,1102463,3,
17273014,73972017,72796,1095872,3,
17190115,73463842,74424,1101697,3,
17173912,73509284,66660,1098936,3,
17162829,72777801,65217,1104479,3,
17415778,73861396,64556,1093179,3,
17327179,73355984,70107,1106194,4,
17446594,73962703,66744,1102481,3,
17274176,73589912,71089,1100724,3,
17161770,73425013,73794,1102678,3,
17044428,73086758,77110,1102992,3,
17224282,73843543,73093,1100763,3,
17269432,73738174,80485,1101895,3,
17154773,72657878,76614,1107032,3,
17298603,73330596,77472,1103284,3,
17485007,74111001,78044,1096941,3,
17336156,73487594,77937,1103034,3,
17329475,73408714,67544,1099031,3,
17433500,73890138,74370,1097524,3,
17211989,72955553,76597,1107552,3,
17463299,74022791,78175,1093898,3,
17316721,73668661,74869,1097029,2,
17371732,73743546,67146,1097011,3,
17496050,74109985,76102,1093366,3,
17177062,72817711,78306,1106628,3,
17350978,73443396,77112,1102149,4,
17326029,73451108,76510,1099796,3,
17320396,73416008,76853,1101744,3,
17505962,74150398,75921,1094875,3,
17263312,73164092,77727,1108161,3,
17445915,73936438,80251,1097825,3,
17392190,73870361,69346,1095897,3,
17216465,73708496,68848,1101581,3,
17114077,73170133,78076,1106632,3,
17306822,74124448,74923,1090569,3,
17306054,73954093,79414,1098820,4,
17149933,73334433,77330,1102687,3,
17053381,73309885,74279,1098107,2,
17110572,73192826,77048,1109504,3,
17168656,73391733,76100,1105825,3,
16953252,72661144,69507,1106615,3,
17297214,74002221,77849,1098177,3,
17352580,74153096,76050,1098392,3,
17183306,73631891,71673,1098904,4,
17323007,74439600,74007,1095004,3,
17290052,74079369,75054,1096617,3,
17296874,73329223,71682,1101063,3,
17229953,73020016,67166,1102886,3,
17390789,73718529,78134,1097832,3,
17342418,73489132,72499,1100812,3,
17358132,73574857,71238,1091548,3,
17461298,74015274,77682,1091293,3,
22836984,73195310,141615,1108310,3,
19372407,72722174,73218,1105146,3,
19250672,74251545,84357,1097025,3,
17322266,74027734,77427,1094150,3,
17283961,73937664,81885,1096715,4,
17515619,74230276,78128,1096135,4,
17199060,73450099,83037,1102879,3,
17364670,74228500,80705,1096638,3,
17589353,74690404,78586,1092547,3,
17218315,72908835,72882,1108865,4,
17463356,74004176,79145,1095733,3,
17391933,73716881,77826,1099811,3,
17330889,73775602,79892,1099113,4,
17254004,73717033,73130,1100256,3,
17205386,73621126,70137,1098367,3,
17255585,73976648,77730,1099977,3,
17145283,73159753,78786,1106089,3,
17420077,73820271,76581,1094238,3,
17416656,73781869,76062,1097605,4,
17443355,73963365,79047,1097939,3,
17416393,73842500,76862,1097691,3,
17323516,73580098,69562,1102244,4,
17203132,73643931,66446,1095805,3,
17150103,72764261,66414,1104696,3,
17269361,73981446,69240,1093723,3,
17245781,73789801,67079,1093985,3,
17248306,74000486,68866,1096894,3,
17071497,72944768,79991,1107434,3,
17254669,74092988,72049,1094713,3,
17327150,74307353,78940,1094706,3,
17264310,73753277,73577,1095754,3,
17246462,73049068,74293,1106335,4,
17365447,73507149,69007,1101794,4,
17387042,73746972,72997,1095798,3,
17333051,73459945,76088,1101239,3,
17173216,72989445,79066,1107598,3,
17199613,73826866,73000,1099563,3,
17137704,73323884,78396,1104285,3,
17287939,74148311,77051,1095986,3,
17068507,73134403,74490,1105633,3,
17360243,73606709,71341,1095648,3,
