duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
122327801,535536918,77945,11702748,4,
120819075,535851179,69565,11700053,3,
120316191,535057903,78308,11730291,3,
118248387,535280825,82239,11720048,4,
119333181,535419569,73341,11727413,3,
121165747,537278533,84721,11729833,3,
120328360,534599429,77720,11721755,3,
120549522,536141692,77194,11706493,3,
119148546,536346769,81505,11689001,4,
118897941,533809903,79584,11710361,3,
118149247,534980572,76316,11717059,4,
119484558,536195847,90874,11705465,3,
119369869,536216893,94617,11705928,3,
119398740,535173506,80359,11717941,3,
120029061,535545713,84050,11705890,3,
120318753,534365343,79502,11732552,3,
119370625,536191353,78482,11682873,4,
120506398,534613567,77256,11723438,3,
120476371,535177832,80841,11709577,3,
120678454,535873934,79962,11717503,3,
118797319,535336421,79079,11710674,3,
119702663,536041020,77867,11707623,3,
118208247,534879893,75476,11710079,3,
118615736,536186176,77153,11714217,3,
118148527,534848589,79488,11717769,4,
118271392,535339994,79103,11704506,3,
118288734,535042443,76629,11713911,3,
118458622,535407041,79661,11704143,3,
119874437,534422115,77133,11716233,3,
118968354,535011444,81101,11705599,3,
119458463,535482925,78742,11713812,3,
119780253,534924586,75728,11706140,3,
118425589,536182088,78705,11717638,4,
118944800,534961779,81764,11720381,3,
119206085,534170437,79562,11730336,3,
120331282,535728942,112693,11717321,2,
118176041,534304633,88890,11715151,3,
119126573,535074188,81415,11713266,3,
119562178,536145067,85302,11700622,4,
119895161,534964581,79945,11706820,3,
120251051,535069858,78367,11698457,4,
118987808,535400939,79402,11711183,4,
119066439,534298604,78999,11710070,4,
118502130,535297178,77791,11716125,3,
121019750,537470563,78909,11715815,3,
119481766,536752796,76948,11681545,3,
120416150,534562686,80485,11701373,3,
120591809,535221615,77713,11712862,3,
120426704,534670375,79264,11729735,4,
119064383,535101146,78086,11707055,3,
120431312,534928306,77222,11716787,3,
120670050,535231461,77611,11717056,3,
120779633,536005962,78199,11711004,3,
118681858,534722477,78412,11716940,3,
120544715,534934156,76053,11710726,3,
120492826,535054288,75387,11727096,3,
120437262,534971848,79591,11712120,4,
119042757,535234359,77046,11706731,3,
120713326,535099759,77089,11702121,4,
120453229,535866227,78494,11726688,3,
118590725,535655301,78279,11715835,3,
118709747,535354977,83398,11703240,3,
119578753,535470483,79040,11706473,3,
117913541,533895803,75298,11711733,3,
118359247,535221233,79280,11700485,3,
118142608,534323390,77464,11719261,4,
118856460,534545888,77447,11724947,3,
119028544,534833865,76890,11712303,3,
118307081,534899367,77509,11704322,3,
120675486,536090236,77421,11708289,3,
118725533,534392970,76470,11712222,3,
120272879,534679924,76297,11692539,3,
118970393,535162287,78092,11720756,3,
118350932,534719101,78310,11717539,4,
118624763,535090684,76949,11721705,5,
120826616,536079958,77065,11702752,3,
120594130,535826591,115102,11712830,3,
120300728,535987759,88768,11709280,3,
119212741,535313404,79867,11713838,3,
119290405,535522761,80102,11707130,3,
120086594,536046474,78288,11752737,3,
118387104,535460936,83543,11704761,3,
118693375,534079058,83474,11714592,3,
120674916,536180013,78990,11700687,3,
118927354,535333879,82817,11700605,3,
120746970,536232142,81296,11710064,3,
119069210,535509196,81171,11719320,3,
119655441,535376568,80761,11704785,3,
120021610,536004080,81833,11705172,3,
120232073,534983353,82615,11699662,4,
119014009,535754944,82170,11722880,3,
120312884,535415117,81397,11696435,3,
118976365,535083123,79415,11718559,3,
118383907,535714265,82499,11701103,3,
118127390,534174800,79372,11717421,3,
119312599,535749734,82106,11706776,3,
119132467,534984417,72059,11705493,3,
120326233,536283943,82038,11713371,5,
118465435,536134484,77298,11701604,3,
118907212,535561118,81599,11696558,3,
