duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
86801557,378883128,79377,4863108,3,
85115394,376638277,79900,4872469,3,
85645973,379131566,76968,4864477,3,
85296638,377511618,81282,4870262,3,
85708115,379396465,78942,4876132,3,
85350283,377996210,79835,4871879,3,
85598091,378772752,78694,4858182,4,
85509245,378584884,75490,4870792,3,
85229348,377244885,75394,4878865,4,
85505490,378279906,74791,4873452,4,
85152829,377036510,75452,4858551,3,
85337885,377847830,80755,4865764,4,
85180366,376756927,79561,4868689,3,
85306443,378069703,76256,4858752,3,
85710461,379332393,79108,4861368,3,
84949675,376489792,74223,4865837,3,
85880743,380053096,78957,4860323,4,
86813522,384014453,80796,4861943,3,
85847800,379845158,78959,4879894,4,
85863455,380557090,76686,4870472,3,
86309197,381819339,76160,4859991,4,
85408453,377867732,78185,4864202,3,
85804009,379649106,79351,4867061,3,
85958787,380625707,112897,4865554,4,
85250584,377646791,85350,4873161,3,
85835564,380093387,78995,4866556,4,
85439555,378567709,77156,4860923,3,
85230696,377174847,76180,4870931,4,
84665250,375335977,85150,4871950,3,
84982090,376719517,71201,4865644,3,
85946799,380361458,81953,4869197,3,
85364418,377447379,79502,4880793,4,
85143920,377147029,78929,4867691,3,
85555484,379134117,72134,4865904,3,
85845936,380200245,78041,4865029,3,
85144828,376520986,78926,4873078,3,
85570162,379013747,78647,4854232,3,
85065230,376805916,81373,4878655,3,
85766451,379402842,78952,4873230,5,
85240948,377693952,79369,4863005,3,
86101556,381557422,73066,4875207,3,
85284571,377772977,71637,4860690,3,
86809203,385160549,77342,4851293,4,
85515109,378239457,77809,4873968,3,
85419322,378311264,78320,4863927,4,
85584682,378167184,75201,4865172,3,
85380660,377795594,78107,4855450,4,
85087753,377079269,81619,4871883,3,
85251923,378034766,66935,4861274,3,
85446976,378392074,82455,4871213,3,
86687440,383526899,81054,4857088,3,
85288632,377490204,78386,4873543,3,
85792618,379941557,74610,4860487,3,
85529617,378667344,81488,4872065,4,
85168876,377248111,77880,4868576,3,
86002357,380678489,78094,4868675,4,
85293553,377634095,73694,4857139,3,
85261519,377065600,83115,4870214,3,
85641718,379183437,82296,4864147,3,
85684532,379304894,74490,4868844,4,
85885409,380376765,78639,4874079,4,
86067635,380824250,79021,4863254,3,
85421762,377873976,77655,4878294,3,
86035828,380006648,68889,4857344,3,
85785709,379680422,82569,4871061,4,
87117506,377658041,74292,4872793,3,
85732335,378261991,79596,4858637,3,
85526035,378789573,81554,4871959,3,
86052557,380616986,80357,4867619,3,
85362940,377784758,79197,4872425,3,
85350753,377942468,79910,4870212,3,
85348023,379701825,76965,4860184,3,
84448432,379792335,77380,4867205,3,
85780613,379598556,69569,4868077,3,
85629814,378865493,82513,4869918,3,
85451647,378358052,77880,4866964,4,
85321193,378633779,76996,4876419,3,
85460541,378543724,79311,4865758,3,
85426048,377834289,80889,4861367,3,
105590399,378621104,112246,4864320,3,
84226998,379211135,76585,4870434,3,
85321679,378863100,83844,4872179,3,
85702556,378877000,81526,4864281,4,
85110480,378140308,76876,4855454,3,
84855033,378562696,75179,4866186,3,
84639970,379555287,82906,4866177,3,
86002731,380238482,153221,4864449,4,
85578851,378001212,72204,4867438,3,
85188145,377154569,88196,4868684,3,
85652318,379022642,81102,4870820,3,
85829419,380144851,78326,4862519,3,
85757229,379326591,83055,4868686,3,
85573213,379130595,77256,4875975,3,
85641864,379527070,79715,4860461,3,
85046532,376154297,81707,4877119,3,
85631397,378810789,79022,4860396,3,
85918509,380074785,82075,4868129,3,
86074019,380738225,80284,4872418,4,
85641976,379320789,79041,4867930,3,
85354584,378095958,81036,4880924,4,
