duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
13364480,56627153,66017,581232,2,
13401799,56651183,74010,582409,3,
13385847,56638989,75300,580033,3,
13370421,56672052,80341,580697,3,
13707041,57903650,112249,582381,3,
13422530,57025668,90229,581443,3,
13423772,56811405,69689,587302,2,
13393439,56607528,75183,582418,3,
13397120,56812123,78414,581901,3,
13655499,57633111,78124,584707,4,
13454280,57029922,79211,586517,3,
13360628,56542290,68476,579408,2,
13457640,56877081,77595,581963,3,
13362381,56658203,75120,580951,3,
13431851,56885183,78098,582757,3,
13463197,56974507,83532,584052,5,
13464395,56884687,76602,582364,3,
13461268,56898827,78049,582058,4,
13318323,56713744,70348,580549,3,
13353020,56893383,71202,581215,4,
13284681,56785947,74775,578945,3,
13258246,56880003,77887,581483,3,
13252877,56705059,78009,581844,3,
13284250,56584047,70330,582134,3,
13473091,56900645,76930,580341,3,
13368628,56625735,79268,579759,3,
13461329,56983328,76443,579765,2,
13529269,57127324,74087,584472,3,
13540625,57420538,72243,584544,3,
13525447,57125756,67761,581527,3,
13404578,56851508,78862,582586,3,
13476062,57000095,67852,580822,3,
13465074,56845107,78385,582203,3,
13353231,56566125,73306,579812,2,
13491765,57008424,71349,580861,3,
13312362,56431122,64386,579990,2,
13447377,56774497,76856,580130,3,
13477010,57172444,73885,582081,3,
13370707,56535229,69773,579105,4,
13413330,56628903,69515,582523,3,
13420770,56833704,75769,579162,3,
13502722,56986219,78214,582349,4,
13357905,56657079,75783,581492,3,
13570739,57337855,74854,580915,4,
13356507,56470720,75789,578551,3,
13316182,56468051,75611,579361,3,
13395340,57269423,77377,583171,3,
13251264,57000702,80556,580182,4,
13342843,56828957,68565,582650,3,
13297330,56806331,70572,579442,3,
13304242,56859028,73295,582271,3,
13348999,57075553,78297,581611,3,
13367620,56573416,75885,579242,3,
13401493,56749067,79465,578619,4,
13360439,56677816,77199,580551,3,
13386937,56726172,76812,580488,3,
13386479,56699573,68514,584219,4,
13357446,56616868,68272,580273,3,
13373157,56607882,67722,580243,4,
13393540,56649873,78067,581196,3,
13363195,56654451,78049,581073,3,
13429441,56845160,74268,580810,3,
13383750,56669727,78899,580322,4,
13359620,56767650,68392,580917,3,
13390711,56667765,74341,580763,3,
13404476,56754476,77690,580732,4,
13330093,56538309,66382,580137,3,
13411533,56749201,73102,578767,3,
13377199,56687563,76098,579863,3,
13380289,56762047,77623,581116,3,
13356791,56595792,76248,580944,4,
13329004,56548482,66277,580121,3,
13371877,56601499,75627,581446,3,
13411626,56720863,74116,584937,4,
13336182,56540605,69869,578314,3,
13407365,56736408,72942,580731,3,
13378279,56676233,73547,581595,4,
13307650,56576257,70349,579301,3,
13398993,56745524,69628,580907,4,
13299748,56487590,75969,579958,3,
13392065,56653420,75928,580675,3,
13413631,56759005,73516,581849,3,
13451807,56767930,72767,587700,3,
13401109,56732536,74379,581934,3,
13460618,56848668,74284,582044,3,
13391974,56746699,76753,582207,4,
13406158,56734867,76727,582623,3,
13397887,56719864,71526,582850,3,
13373567,56702669,76655,580062,3,
13555184,57303669,76487,582926,3,
13362821,56645352,78352,578191,3,
13429877,56843899,68640,585467,3,
13394758,56580698,69957,582040,3,
13336629,56544621,72170,581115,3,
13425323,56780514,76450,583048,3,
13346331,56550435,78625,578582,3,
13393717,56750183,70684,584759,2,
13435947,56741699,74128,588194,3,
13423929,56813892,74168,582857,3,
13416364,56664592,73845,581360,3,
