duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
67356226,281613299,148498,393379,3,
62640676,280597505,78550,427395,3,
63187675,279702405,82542,413512,3,
63355280,280087807,73093,395483,3,
62982512,278653696,79982,393018,3,
63174721,278988468,79592,400882,3,
63666904,281361436,79378,400775,4,
63362828,280034002,70422,403009,4,
63298188,279903448,81558,426624,3,
63192830,279036638,73720,407678,3,
63083171,278981045,75633,403936,2,
63494864,279912936,75859,423869,3,
63104891,278951347,73104,406574,3,
63173399,279294408,74090,411100,3,
63431851,280695793,79671,438405,4,
63596401,280542656,79840,409072,3,
63129705,278891018,75794,401371,3,
63757751,281356358,76564,463530,4,
63230296,279193567,76496,401659,2,
63148059,278821865,66816,391141,2,
63167066,279039322,78345,401351,3,
63197019,279381653,81342,410442,6,
63341619,279866297,75139,396175,2,
63277378,279735445,72219,429322,2,
63263047,279278444,73149,401054,3,
64637693,282033198,74899,418023,2,
64279039,278903260,71417,394538,3,
63022659,278722105,72835,402063,2,
63669916,281169951,67364,424718,2,
63908575,281926661,77513,408541,4,
63173372,279057973,74356,413314,3,
64188239,279234219,79007,411781,3,
65354204,284216855,69431,439154,3,
63790299,282007637,78155,410441,3,
64341979,279490249,80240,415200,3,
64474128,280676396,79583,435977,3,
63312334,280075912,80641,439289,4,
63105173,278992274,79609,401508,3,
63425561,280041654,77787,408593,3,
63486965,280620071,76753,402301,3,
62991425,278613316,77199,400619,3,
63403325,280509752,66159,406605,2,
63232765,279063089,77064,409207,3,
64140746,278185885,77515,393330,3,
63848583,278976168,78975,401386,3,
63102346,278818755,78337,398577,3,
63566579,280399063,71650,443478,3,
63127050,278965038,80549,402513,4,
63158277,279461833,75080,405247,3,
63178971,279079601,75195,408653,3,
63305936,279557329,76265,409517,3,
63169327,279001849,78823,401659,4,
62851349,278184958,80412,393799,3,
63358170,280133407,69376,411603,2,
63400029,279920686,75210,438860,4,
63207935,279249504,73911,411822,2,
63958518,279054879,79176,404409,4,
64266943,278797720,74111,397578,3,
63988091,283168074,74853,456351,3,
63103857,278877398,76361,400676,3,
63832195,281878226,73815,425769,2,
63026734,278323847,69269,397207,2,
64053246,278745549,73046,396457,3,
64493666,280457360,79608,400961,3,
63263037,279285924,80781,411952,3,
64850554,281676378,71119,419649,3,
64012913,279152198,79034,398468,4,
63247724,279431377,77929,399518,3,
63190981,279115006,75590,406296,3,
63161690,279073092,76163,397981,2,
63305271,279361950,76437,412481,3,
64441142,279374551,77164,414739,3,
63995916,279564321,78609,417005,3,
63606220,279771391,77460,420421,3,
64964826,280477427,86868,423644,3,
64795831,280839325,75068,422921,3,
64411611,278814629,79097,400500,4,
63175820,278940351,62868,409264,3,
64033784,279479684,68963,400124,3,
64444372,279609058,77230,410991,3,
63783485,282021949,72911,427225,5,
63993820,278966530,68169,406343,2,
63981641,279151987,76185,411238,3,
62362417,280238701,78810,417941,3,
62977873,279194140,68976,411306,3,
63268112,279394237,78915,411733,4,
63063198,278758747,80175,389755,3,
63307700,279563390,78656,415728,3,
63305587,279437751,78258,421269,3,
63733232,281628944,78783,405734,3,
64298558,279281407,75656,405004,4,
64000055,278987600,72375,407983,3,
63086980,278988077,79367,399796,3,
63286727,279835547,68233,432544,3,
63224143,279409912,80798,411009,3,
63136773,278693845,74616,397229,3,
64407967,279571080,78004,425006,4,
64169554,280120338,75447,422657,3,
63456186,280400693,74896,404897,3,
64461682,279246747,73404,413091,2,
