duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
496056367,2243884851,152511,14962737,4,
494458136,2249472262,76036,15077318,2,
493710224,2247514007,83544,15114809,3,
494179119,2246597553,75331,15032408,4,
492840682,2242339143,84639,15030436,4,
494118875,2248283428,78935,15110970,4,
490878439,2244846486,81648,14928328,5,
491827285,2238475835,78279,14901319,3,
492818992,2242244660,70013,14882560,6,
493637430,2245826070,79243,14857404,3,
494838268,2249184756,114573,15086849,4,
492523853,2242236300,85423,14915220,4,
494117044,2247821465,67962,15061758,4,
496806728,2260577889,77598,14941076,4,
494939438,2252667820,80456,14987018,5,
491955477,2238113754,78471,14872036,3,
495036551,2251304476,76718,15033020,6,
492921588,2244503953,79137,14932847,3,
493467551,2246546639,77123,14966192,4,
493862027,2247458621,76243,14914403,3,
492607093,2238619392,114672,14882057,4,
493299049,2244235734,82620,15036052,2,
520042558,2376245521,80669,14990203,5,
491939552,2248187416,78575,14889071,6,
491097496,2243234918,78487,14911676,6,
493848720,2247250985,78839,15010417,4,
491186764,2243331579,72213,15007835,3,
497030897,2271603754,80107,15135222,4,
491351515,2245519503,80934,14888585,5,
493230429,2245064542,77765,14944624,3,
494576683,2247068210,115618,15047787,3,
490761458,2242616837,86769,14963424,3,
494018178,2247158137,79249,15005911,6,
494612225,2249853391,80271,15033643,4,
491794391,2237802369,78436,14869650,3,
491822815,2246682010,81917,15010827,3,
491262865,2245804431,79269,14898324,5,
494972625,2251784413,80332,15070061,3,
492000792,2249598174,81642,14925615,6,
494011792,2247617307,78466,15126920,3,
496567499,2254438316,71949,15122898,6,
494252776,2248036061,80826,15015137,3,
497165381,2260069538,78635,14844853,4,
490345606,2239861821,80504,14918132,2,
490682210,2241695414,81042,14984070,5,
497147881,2262219578,72579,14879813,2,
495816848,2255987085,78385,15249863,5,
492908847,2243247107,81470,14903531,3,
493837165,2246033480,80663,14910865,6,
494362370,2250193618,80516,15059834,3,
493742393,2244336153,81162,15014407,5,
496696131,2256530278,81440,15108259,3,
493879341,2246361577,77557,15080571,4,
490356999,2241674174,80149,14989603,4,
492611661,2240381625,81383,14893607,4,
491255035,2236260668,77692,14842193,4,
493168482,2242652975,80600,14969777,6,
493262542,2244126557,79058,14969716,4,
495919383,2266199811,77987,15114615,5,
490780787,2243151487,78415,14931587,3,
492869534,2253193650,79523,15222745,6,
493805559,2247907465,80963,15096537,3,
493957323,2247563990,94947,14984324,4,
491440500,2244052063,95537,14984384,3,
491802468,2240752952,78186,14940388,7,
490566988,2242155767,86098,14923949,4,
490686036,2242467689,83429,14933091,5,
492801241,2249351000,80296,15045146,3,
495266405,2263575151,84347,15034443,5,
492236002,2240257007,79768,14986990,5,
490293837,2240477516,89248,14803936,5,
491489910,2243124233,79033,14895447,3,
492184844,2245028452,81390,15041016,6,
492564083,2246792565,82382,15027574,5,
491823385,2247711589,84650,15035223,4,
490432986,2240453332,79750,14974839,3,
493687765,2247688792,81614,15045913,5,
496813076,2269145597,78416,15022996,4,
494992209,2262663227,74626,14930886,3,
491735633,2247684053,74201,15055799,3,
492276025,2238447941,76478,14952016,6,
491474998,2246081600,75350,14948167,3,
494579635,2247381488,78375,15115523,4,
494280341,2248554865,76715,14925389,3,
492669937,2241807503,80459,14830512,5,
493472589,2244699599,70891,15057587,3,
497674407,2265168271,71993,14955312,4,
493464730,2245134013,78219,15092809,3,
506802306,2256692826,143471,15072441,5,
490786572,2244922122,75631,14890550,3,
490629352,2242701240,83768,14990997,3,
492234912,2249435181,81473,15002285,4,
490359847,2238076371,78898,14826670,5,
490980767,2240669060,85817,14961326,3,
491710389,2246790221,80096,15068711,5,
492725223,2252048873,83103,15230961,5,
492180472,2243740794,84680,15087507,6,
490989999,2243900543,89747,14908756,3,
497472508,2274739908,82123,15104049,5,
494411596,2255731435,80475,15148756,3,
