duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
2150164471,9839260385,90416,46378545,9,
2159368787,9875405111,119235,47887029,10,
2160588493,9895958637,98578,47212665,10,
2151642121,9847987042,86677,46989688,6,
2150702449,9849854521,96145,47127861,9,
2149288315,9841645625,95108,47299890,7,
2170796921,9934107485,114961,46874583,9,
2181001703,9980220923,85334,48377435,6,
2156393101,9873964536,86793,47549685,8,
2154894581,9855474091,93405,47202810,7,
2150351319,9830750137,97022,46857662,11,
2155222188,9869427241,98250,47702396,8,
2154031175,9861453589,100985,47588220,10,
2145369727,9832300520,91120,46693505,8,
2146815539,9821158316,77376,46572199,8,
2160255531,9899709432,86415,47856627,6,
2177553405,9970333461,79220,47051491,5,
2151952927,9838366323,97016,47012386,10,
2149831362,9849792603,90702,47106097,7,
2159142999,9876170832,94983,48518670,10,
2156925918,9856803869,104784,47541125,8,
2153586867,9856819763,101195,47163192,9,
2155671951,9862304640,96621,47879308,7,
2147542660,9841226708,86772,47007019,8,
2152867160,9867853947,85124,47488958,7,
2149104672,9836565105,89264,46888137,9,
2153277776,9852670224,95001,46903257,8,
2154866627,9864461756,93343,47614517,9,
2151854918,9848620846,94992,46933348,8,
2157478833,9870223473,91137,47979123,11,
2159289761,9876652044,91745,47743151,9,
2156008207,9874592163,96461,47955843,9,
2152293368,9849587183,87476,46736077,8,
2154987103,9872705765,88905,47282038,6,
2155113625,9863462159,86859,47599106,7,
2147254381,9840072175,86125,47148506,6,
2158335446,9882592542,76710,48050937,7,
2149013123,9835033335,90991,46663099,8,
2159608913,9881562334,101030,47285727,9,
2154680697,9867903401,98763,47266316,9,
2157205138,9869252173,92626,47220776,8,
2148904485,9826966149,95745,47066190,9,
2164917404,9897411018,102524,46963966,10,
2170299285,9935805150,98666,46701433,9,
2165148242,9909784185,92585,47560913,8,
2172474467,9942102599,98341,46972666,9,
2149006458,9842110915,90870,47163916,7,
2152887288,9851634490,91407,47224965,8,
2158294932,9884905705,94172,47845087,7,
2150548174,9844851929,86430,46982158,8,
2153592203,9860425139,85189,47300284,6,
2153191788,9860234577,84148,47292422,8,
2152222201,9846554751,88648,47324919,8,
2161514139,9905098384,81897,47902263,6,
2154604505,9866364040,93144,47334741,7,
2153825469,9842427774,97624,46715676,8,
2161078734,9897333544,96593,48177829,10,
2156647955,9864138053,89731,46981045,10,
2173211515,9949808451,92754,46680083,8,
2149314092,9840179533,86960,46972197,6,
2157829253,9858891746,93236,46679877,9,
2153968774,9862222314,97165,46754344,8,
2168835990,9929316207,93593,46350520,9,
2154447915,9855537782,116654,47284503,7,
2161596577,9901375240,91921,48153645,6,
2153815725,9856367966,83724,47198263,9,
2153001784,9860681713,75571,47163030,7,
2158601777,9883893224,89039,47805233,9,
2152152680,9841528671,95092,47317571,7,
2160312509,9899395061,94085,47819313,8,
2155184106,9868888650,86904,47608485,7,
2175177783,9962817825,87888,47564517,7,
2150004323,9849247784,88360,47426245,6,
2158373611,9867674438,98423,47622398,8,
2155949116,9866486998,95052,47551883,9,
2145977363,9829599814,90299,47101308,9,
2155666997,9850740362,92792,47330744,9,
2152510840,9851627394,91966,47308172,8,
2148862567,9838092052,90521,46879909,10,
2166830920,9915277552,91616,46868374,7,
2154954031,9853959366,120154,46928508,9,
2155162267,9870084371,91391,47644680,8,
2151291196,9844641663,87730,46407239,9,
2149442507,9847656773,89589,47167493,7,
2154259817,9864698595,88451,47861072,8,
2170193058,9920271363,95221,47733734,9,
2158790309,9885966269,96598,47534328,9,
2176623647,9959666601,89025,47367480,9,
2150641249,9849677995,89553,47205768,8,
2158025732,9863593325,95583,47959330,9,
2153036579,9859932434,99670,47720979,9,
2150734663,9840764779,95013,47053342,9,
2188125498,10015358506,95833,47340300,9,
2156019191,9865160751,93359,47120222,12,
2153694666,9849020130,94425,47154637,7,
2152267156,9850365005,94468,47170475,8,
2153261950,9856729194,90664,47366022,8,
2153525380,9853762783,96342,47405721,9,
2149297761,9836702869,101886,46833238,8,
2154699699,9856950260,93275,47522874,9,
