duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
16013705012,73384334172,99535,27579185,30,
16003670942,73376015020,111549,30233154,25,
16006327163,73384005199,101606,27612856,34,
16016301837,73438364945,95157,29928073,26,
15992126897,73310002005,98269,29375406,26,
16007770531,73362494322,109637,28519950,29,
16028166858,73456840489,104668,34043381,35,
16077755658,73730599118,102794,27547309,26,
15990117830,73302389438,89916,27654086,24,
16567320869,75969210240,102103,34775142,28,
16014489971,73382794593,100698,27675659,30,
15932973037,73043478256,99461,30121087,26,
16032279223,73482442729,100783,27489572,28,
15995359457,73281718403,115992,27500978,38,
15994631431,73296440168,108392,27710016,37,
15975662396,73253314747,100356,30142811,26,
15996145208,73338113463,101820,27776537,26,
15983483482,73288867510,101823,28421046,27,
16021474678,73467430548,89406,28631384,33,
16021268842,73423908898,92154,27669445,37,
16174558570,74067358150,119517,30252958,42,
16006916279,73318912123,118278,27648074,46,
15988172161,73244719398,111465,27480519,49,
16019412506,73406772811,114612,31374748,46,
15964131785,73157872079,108840,27590737,48,
16008721778,73322392827,121151,27628875,39,
16018092382,73429081343,101474,33821092,32,
16004451429,73339966552,113656,27535651,38,
16014173823,73401391874,112368,27497567,37,
15985198252,73283389853,109388,27674694,40,
16116102092,73852379099,105794,27633160,35,
15991253290,73300854031,111227,27687065,37,
15979316342,73224367215,110918,27506032,41,
16008724745,73369136548,108406,27757565,41,
16114824745,73880814393,112099,30191973,32,
15995139183,73330388921,103995,29784260,40,
16009418444,73337971913,122309,29601370,41,
15977965196,73222649963,113453,27545341,36,
15999462074,73365830523,101555,28519116,29,
16116983561,73873124212,98353,40114919,37,
15993045565,73307477705,108828,28377160,35,
16000687574,73332712004,109019,29366852,36,
16002783842,73318403595,114609,28824784,40,
15999510987,73337767130,108126,29223621,38,
15993769770,73263991854,121997,27521735,49,
15999114691,73362471623,98578,29291696,31,
16074259111,73664863805,96535,36562250,34,
15996835445,73334508362,103288,27611371,35,
15988393601,73235902660,107305,27749624,44,
15994918587,73275580188,117657,27528426,47,
15991818876,73297912408,127517,27543232,31,
15983477946,73294033171,113301,27541526,39,
15992753221,73301341433,109544,27505193,35,
16006788270,73381441277,105369,29047417,37,
16002300562,73355143701,102992,28741319,37,
15971738297,73228397954,103253,28476155,34,
15996509373,73298236489,111127,30948164,39,
15966071719,73192412691,111432,28463685,34,
15996838949,73333463203,107989,28046680,40,
16007166004,73340294154,117305,28085822,46,
15989844985,73235563340,122310,27538320,48,
15975415308,73230819639,103742,27808661,35,
16009222649,73370844948,108350,27663176,39,
15996496337,73336873031,104676,27571733,42,
16160415954,74087738017,96215,33635602,31,
15986258810,73240735537,111059,27658388,39,
16010081639,73354497996,114800,27598172,42,
15977847921,73239419502,106211,27637889,36,
15992848397,73311207052,92254,27655329,28,
15981316447,73258580866,100890,27726856,32,
15989705370,73302147349,102612,27694651,40,
15967412078,73213480202,95782,27817708,34,
15988176731,73304306451,92651,30526751,31,
15998787903,73309328760,105697,27606212,38,
15990184284,73263644496,107656,27871843,45,
16085353082,73736192961,111830,27511546,34,
15986475514,73271692652,109777,29428159,37,
15995297962,73296463975,114776,27811454,41,
16026482253,73458979569,103829,30320906,41,
15999967863,73366336805,95567,27783678,31,
15992024181,73283621124,102587,27650235,38,
16006661033,73363067113,114000,27617725,44,
16000377697,73357829114,96525,29728024,33,
16007346715,73324471201,114455,29577416,39,
15983351498,73261139932,110079,27594584,42,
16100164519,73825021966,100627,40639828,37,
15990286727,73308048392,96332,28443460,34,
16107518042,73793624094,107456,27817600,41,
16081449429,73727021332,110023,27618949,36,
16000923526,73362623829,94215,30607480,34,
15969782934,73210235226,99603,27664823,32,
15989188490,73300013009,100782,27735669,37,
15999890015,73354523209,99312,27522544,37,
16003209102,73330096583,97884,27605424,40,
16007969118,73348775247,108586,30583716,39,
15978789104,73255478868,99489,27544744,34,
15974472967,73244710868,99964,28092252,34,
15980056669,73246157805,99778,27604579,34,
16026244570,73276808047,143966,29147059,41,
16009240014,73389369924,109524,33084328,31,
