duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
64746800150,296824073458,122429,99461591,136,
64717935776,296691736665,136802,99614084,146,
64669859513,296481574001,135107,99532778,147,
64699889777,296651590084,127626,99875601,138,
64702155644,296639045434,130434,99711306,145,
64749947085,296907722209,123457,100602756,127,
64719062196,296663820102,143688,100215199,154,
64658756880,296503260395,124611,100634493,121,
64723207739,296722011291,126242,101200035,140,
64680790188,296586930508,128422,99511510,133,
64691768009,296571357389,140184,99699318,148,
64694599943,296663611338,131943,105614211,145,
66303643384,303973137646,134132,115899210,147,
65169276278,298769141803,136738,100788563,157,
64665432928,296504210352,124901,99410326,140,
64775720279,296937608885,141483,109419685,149,
64935296570,297724712538,128393,142769991,147,
64659231097,296476154489,124889,99979238,142,
64663607040,296447199019,133254,100691321,146,
64688535740,296565110318,129590,99559281,142,
64932363468,297724796144,120878,114798181,138,
64671402237,296526454287,132354,101801467,136,
64806197925,296885730234,160098,99814704,194,
64722934035,296634893742,144308,100106390,151,
64771482357,296952594086,132545,105271241,146,
64835383791,297303423787,124498,129997678,140,
64635365853,296429631672,120630,99878663,132,
64663866268,296477295763,125692,100144109,140,
64609109995,296309142859,122273,100040029,133,
64630072593,296376031073,121322,100140413,135,
64663253916,296528185701,122443,105360083,121,
64617295818,296285183937,123123,100070609,137,
64700336416,296655454165,127359,100629911,145,
64650076395,296356810887,158126,99505067,154,
64800761157,297087010539,129689,99892689,140,
64683991246,296544590533,138463,99689011,139,
64743491826,296839368673,127008,99548904,137,
64807050522,297162330094,139761,101718081,139,
64724820003,296794510356,129324,105443097,124,
64772733493,296845425188,149831,108228386,170,
64726701759,296652946989,145373,99538835,167,
64692970375,296618265724,130587,104939617,137,
64732871191,296852887001,120406,106840258,134,
64802302640,297142793435,119518,113192912,139,
64647851577,296393262701,123303,99715900,135,
64657089098,296437952675,131070,100234325,147,
64691683417,296702490811,129298,100863060,122,
65155478350,298726507996,128190,150482809,141,
64662908090,296498908315,122463,105450635,133,
64902336398,297587616621,125810,125729569,137,
65219916990,299008089717,144337,101552924,147,
64627405166,296295595043,141080,99711242,145,
64668296543,296428499188,142100,100200303,161,
64670678918,296519080238,127886,99428243,137,
64824835765,297287223577,118679,121721512,143,
64657514223,296466663025,117939,99424386,138,
64573410425,296018674187,141537,99480295,147,
64619813820,296381794407,114196,100017621,131,
65407908534,299877706311,132391,115100904,143,
64702134079,296692772470,123845,99585452,140,
65194381086,298946998524,123142,103506747,134,
64690951122,296614983709,127272,100088340,126,
64599424598,296237305119,126007,100208171,145,
64697738571,296686080730,124710,100091599,136,
64714756949,296659474886,133882,99673817,148,
64635039384,296383290119,121084,101291819,131,
64619804186,296338990636,121219,99506105,131,
64748438540,296878857180,129761,109239936,140,
65293624970,299453912002,114930,123063862,129,
64684343034,296610288412,120689,100296410,127,
65549923611,300531082960,137213,167538852,139,
64811942254,297201964090,129756,99891767,132,
64669627823,296504890354,131975,100250515,137,
64657460908,296484166109,123516,100064150,145,
64612768672,296339155162,116165,99437002,130,
64719530288,296756690112,117871,99602765,133,
64682243541,296542492375,136197,99658954,146,
64785722888,297076482486,119713,100022797,126,
64690420655,296590208543,130863,99463395,145,
65141899769,298714421298,120764,99479529,140,
64703835322,296743410269,117014,99391396,134,
64723362294,296770039288,123765,100316018,140,
65036659938,298120713610,146261,99374110,156,
64687702649,296600295181,126467,102020355,135,
64727935663,296862162978,114224,103640640,123,
64768294448,297031918018,108308,104894885,135,
64665603227,296511601650,119824,99653287,141,
64611675348,296158040449,139156,104787708,151,
64826496533,296750777253,181619,120343808,180,
64703010832,296470504307,144851,100677179,181,
65170675099,298512236768,174236,99709507,185,
64645887581,296443125234,118283,102501372,137,
64679393679,296638569281,109637,99611656,136,
64676565456,296534229041,124287,99446790,141,
64692594797,296614159857,123565,99349589,139,
64704700480,296744044164,117126,109160158,137,
64624942213,296327779754,118612,99884758,139,
64684152898,296624840669,125539,99659735,139,
64727058809,296788974528,122724,99444778,141,
64874670401,297451301542,133419,121599262,146,
