duration_time,cycles:uk,cache-misses:uk,branch-misses:uk,context-switches:uk
32072069329,147067704409,99184,973812480,66,
32131801445,147364789747,98940,982939886,70,
32117680852,147291730731,100475,984738619,68,
32106384042,147219907530,91769,974074367,70,
32163561568,147502050983,94585,985555437,66,
32131952669,147357506418,97451,982885927,74,
32120386446,147274426752,94759,982128511,66,
32112621654,147279402091,96773,982195694,58,
32117120548,147309173447,96147,981844719,63,
32149012967,147419433412,95447,990260830,64,
32269704727,147963520765,95941,1004269499,64,
32163374280,147426369145,109047,981659839,82,
32262056512,147847838096,122509,975356917,89,
32139916959,147352397533,118100,984586830,68,
32081055273,147118223920,107628,976000069,69,
32156848049,147488493778,97269,985484397,62,
32110533150,147242678602,95770,981887139,72,
32129836230,147333987180,95592,983353105,67,
32085559437,147156012416,99948,976425956,67,
32131576844,147347101091,98770,984256236,62,
32160817310,147468989108,92328,990085943,66,
32140722668,147402585439,97253,978710762,65,
32130419826,147332723033,100142,986619204,63,
32116331792,147267213752,105100,979000257,58,
32124664032,147329484682,95250,982945359,62,
32129509682,147335444036,96471,979296119,64,
32163492990,147476681019,102863,987619117,69,
32145021857,147422616444,102913,983602884,70,
32261639717,147959649607,91094,986046269,62,
32156243283,147458421687,98461,982903385,74,
32125455189,147277989184,102009,983184625,65,
32152485099,147447025571,102814,986456113,69,
32128010740,147350741373,97855,983722162,63,
32153109527,147406875701,112328,988463878,78,
32127689951,147287546413,114743,983049700,77,
32133237778,147350344081,106311,985844150,73,
32156047952,147451340365,101748,987937303,67,
32162364014,147488002493,95319,986607492,61,
32160054523,147502096129,94528,988279162,56,
32124296749,147302645000,104619,982214248,63,
32225652063,147681938116,113775,985496968,95,
32169352575,147432033521,118986,983039733,85,
32122415469,147231647850,122175,977633145,90,
32171020298,147470600004,117657,986415914,77,
32169210401,147530041582,106879,984613883,68,
32093760416,147187492314,99736,977710021,65,
32141499301,147395844510,93995,984760451,70,
32148538514,147424923174,97617,985059274,59,
32162894711,147496319367,93560,981539393,67,
32136899388,147366650318,93940,984363764,65,
32124719183,147290535287,98980,981215636,63,
32142630669,147414694871,92341,988128620,63,
32128522306,147342210585,95183,982975530,62,
32157541359,147449451588,94914,983132583,62,
32109395004,147251326180,90913,981084539,54,
32116621222,147283529316,95386,983340709,68,
32138236405,147395612764,91732,986320824,58,
32120714430,147294853089,94989,985241488,65,
32120328483,147306074280,92681,975105919,61,
32157350256,147470653492,94697,987010940,72,
32127785335,147315869494,97166,982360991,61,
32129214235,147337880635,97686,984809561,64,
32128014054,147288682589,106731,982560406,75,
32151724559,147421512697,120194,985609490,77,
32177518646,147473810917,116730,988289742,81,
32100618581,147212872466,119834,979089704,66,
32113483190,147197087911,116702,980104805,75,
32120274251,147185148502,118050,978506812,74,
32190507912,147566163878,105106,988152828,68,
32133337930,147341984826,105325,984293911,48,
32129729201,147297647880,100680,983485335,52,
32148291830,147423558199,100860,984909839,43,
32139998456,147383851303,97080,986296456,50,
32072207397,147087514500,100144,973783133,44,
32134909864,147345871922,94755,984022840,50,
32130682367,147349899370,95065,981366138,44,
32147196575,147419729761,97769,987229901,49,
32126581436,147316687326,94479,983121845,49,
32143139823,147407965814,95530,986201362,46,
32143437198,147398823251,96288,984072908,50,
32161767465,147481646960,94962,987838663,48,
32226628582,147772709922,99734,975350843,48,
32107488841,147250022536,96196,981385683,47,
32119059215,147298672948,100137,983257648,50,
32202637291,147633220209,100998,988513335,43,
32143241225,147388963986,96458,980363829,51,
32075291073,147101065800,98612,974485467,43,
32110483550,147247941599,97270,981848920,51,
32120972439,147301081713,95015,977667811,44,
32138189342,147376085113,96757,984887301,56,
32120419699,147296370273,96123,980395166,51,
32122777063,147309206925,102992,982145294,48,
32232585467,147816373106,101045,987111995,50,
32125594550,147309346646,102528,982748891,50,
32133599091,147350086748,98508,985502592,53,
32088026064,147161336771,97766,976413104,51,
32224468589,147778098381,95790,985081502,56,
32125137383,147308885569,98980,984504502,54,
32117928697,147273694166,94813,981980536,54,
32132043775,147351620359,95915,985220259,49,
